hindi,english
फ़ाइल पूर्वावलोकन सक्रिय करें,Enable file preview
एक अज्ञात त्रुटि आई. ,An unknown error occurred.
लिखें (_ B) ,_ Burn…
चयनित पाठ्य का रंग चुनें,Make the selected text lowercase
कर्ता का आबंटन,The actor 's allocation
स्रोत,Source
मेकफाइल परियोजना,Makefile project
अंत में,at the end
प्रतिबन्ध किसी अक्ष के लिए ड्रैगिंग,Constraints the dragging to an axis
शैली विशेषताओं के सूची जो कर्ता के विषयवस्तु को लागू करता है,A list of style attributes to apply to the contents of the actor
लोड किया जा रहा है... ,Loading:
PID,PID
#-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#टिप्पणी: #-#-#-#-#libgnomeprintui. gnome-2-2. hi. po (libgnomeprintui) #-#-#-#-#टिप्पणीः,Co _ mment
युक्ति का पथ,PATH TO DEVICE
संपादित करेंmenu,_ Edit
0 फाइल्स,Dock items
"पाठ रंग, R/G/B/A मिश्रित अंक जैसे","Text color, as an R / G / B / A combined integer"
डायल,dial
मध्य यूरोपीय,Central European
परियोजना,PROJECT
कोड मोड़ें हाशिया,_ Code Fold Margin
लेखन ट्रैक% s,Writing track% s
कृपया एंटर a कॉपी करें. ,Please enter a working copy path.
चिड़ी की दुक्की,two of clubs
को खाली संदेश? ,Are you sure that you want to pass an empty log message?
को,To
"अपने वेबकैम से तस्वीर व वीडियो लें, मजेदार आलेखी प्रभाव के साथ","Take photos and videos with your webcam, with fun graphical effects"
कमिट परिवर्तन,Commit Changes
जोड़ें लाइब्रेरी,Add _ Library…
कृपया a प्लगइन को सक्रिय करें,Please select a plugin to activate
Anjuta है को को स्वयं से. ,Anjuta is unable to attach to itself.
मेलबाक्स बंद हो गया,Until closed
अद्यतनीकृत से. ,Externally Updated:% s
पूर्वावलोकन (_ r) Disc Image,P _ review
फिल्टर संदेश प्रोकमेल के जरिये,_ Filter messages through procmail
मिले-जुले,Mixed
संदेश नहीं भेज सकाः,Could not send message:
केमेलॉट,Camelot
अंत में जोड़ें का द्वारा लकीर,Append signed - of - by line
चर,Variables
सूची और डिस्क को हटाएँ,Remove from list and _ disk
त्रुटि को a समूह! ,Error: The snippet must belong to a group!
प्रतीक चुनें,Choose Icon
अस्थायी फ़ाइल का स्थान,Location for Temporary Files
बंद करने के पहले मौजूदा परियोजना के बदलावों को सहेजें? ,Save the changes of current project before closing?
तस्वीर लें (_ T) ,_ Take a Photo
डॉक शैलीः,Dock switcher style:
पंक्ति,Row
छवि बर्निंग सेटअप,Image Burning Setup
"यह एकिगा सामान्य विन्यास सहायक है. निम्न चरण को एकिगा को कुछ सामान्य प्रश्न पूछकर सेटअप करेगा. इन चरण के एकबार पूरा होने पर, संपादन मेनू में वरीयता में जाकर आप उसे हमेशा बदल सकते हैं. ","This is the Ekiga general configuration assistant. The following steps will set up Ekiga by asking a few simple questions. Once you have completed these steps, you can always change them later by selecting Preferences in the Edit menu."
C + +/Java Assistance,C + + / Java Assistance
पहुँच योग्य भूमिका,Accessible Role
अग्रभूमि का रंगः,Foreground color:
नहीं सहेजें से. से. ,Could not save% s:% s
कमिट परिवर्तन,Commit changes
प्रारंभ टर्मिनल के लिए. ,Cannot start terminal for debugging.
क्या पाठ एकल पंक्ति मोड में है,Whether the text should be a single line
जोड़ें पश्चात फंक्शन,Add ')' after function call autocompletion
आईडी,ID
क्या चयन रंग सेट किया गया है,Whether the selection color has been set
खेल बदलें,Change Game
नई ऑडियो आउटपुट युक्ति पायाः,Detected new audio output device:
न्यूनतम वृद्धि,Minimum increment
डिस्क को सफलतापूर्वक खाली किया गया. ,The disc was successfully blanked.
इस ड्राइव में डिस्क में आँकड़ा है,The disc in the drive holds data.
चिड़ी का पंजा,five of clubs
कमांड लकीर पैरामीटर्स,Command line parameters
उभारें श्रोत कोड,Highlight source code
डिस्क कॉपी करें,Copy Disc
कृपया अपना खाता आईडी दाखिल करेंः,Please enter your account ID:
"इस परियोजना में फ़ाइलें जोड़ने के लिए ""जोड़ें"" बटन पर क्लिक करें या इस एरिया में फ़ाइलें को खींचें","To add files to this project click the ""Add"" button or drag files to this area"
संशोधनः,Revision:
डिस्क प्रयोग के लिए तैयार है. ,The disc is ready for use.
Pango Renderer को ट्रेस करें,Trace Pango Renderer
विन्यास सहायक (_ C) ,_ Configuration Assistant
मिलाएं,Merge
सांख्यिकी,Statistics
लॉग देखिए,_ View Log…
क्रियान्वित करें,_ Kill Execution
प्रगति मोड,Progress Mode
कृपया एंटर a रिमोट नाम. ,Please enter a remote name.
चलाएँ इंच टर्मिनल,Run in Terminal
गीत अंतः,Song end:
डिस्क लिखें,Burn the disc
टाइम-लाइन,Timeline
C/C + + शीर्षिका फ़ाइल,C / C + + Header File
दिखाएँ छुपाएँ लकीर,Show / Hide line numbers
execvp विफल,execvp failed
पादिका,Footer
पुनः लोड करें (_ R) ,_ Reload
% s के साथ खोलें,Opening% s
कृपया a प्लगइन को सक्रिय करें,Please select a plugin to activate
प्रयुक्त के लिए शीर्ष टिप्पणी फ़ाइल,Autogen template used for the header file
Anjuta परिचय,About Anjuta
पहुंचनीय,_ Accessible
मेलबाक्स खुलने पर स्वत संदेश को दिखाएँ,Automatically view message when mailbox opened
बतौर रूट संस्थापित करेंः,Install as root:
फ़ाइल (_ F) ,_ File
नहीं रिमोट चयनित,Remove selected snippet
प्रक्रिया में भेजें,Send to process
पिक्सेल में कर्सर की चौड़ाई,"The width of the cursor, in pixels"
साफ़ करें (_ C) ,_ Clear
दिखाएँ का a फ़ाइल निर्देशिका,Show the log of a file / directory
पेटी का पृष्ठभूमि रंग,The background color of the box
दायरा बाहर पता,Outrange address
बिल्ड कमांड,Build commands
फ़ाइल या निर्देशिका नाम बदलें,Rename file or directory
पहुँच योग्य एमडीआई मूल्य,Accessible MDI Value
उपयोगः,Use revision / tag:
लेखन रोधी (burn _ proof) प्रयोग करें (विफलता का जोखिम कम करें) ,Use burn _ proof (decrease the risk of failures)
हुकुम का दहला हटाएँ. ,Remove the two of spades.
परियोजना या अवैध,Project doesn 't exist or has an invalid path
उन फाइलों को लिखने देता है जो स्थानीय रूप से जमा नहीं किए गए,Allows files not stored locally to be burned
बग बड्डी को पता नहीं है कि कैसे% s अनुप्रयोग के लिए सुझाव दिया जाए. ,Bug Buddy doesn 't know how to send a suggestion for the application% s.
रूप,Appearance
जारी रखें a के साथ परस्पर विरोध,Continue a rebase with resolved conflicts
वेभफाइल,Wavefiles
Libburn लाइब्रेरी नहीं आरंभीकृत की जा सकी,libburn library could not be initialized
अपठनीय फ़ाइल,Unreadable file
Lua फ़ाइल,Lua files
(S) VCD सफलतापूर्वक लिखा गया,(S) VCD successfully burned
नया लक्ष्य,New _ Target…
फ़ाइल निर्देशिका को,File / Directory to patch
"यदि आप ट्रैक को बांटते हैं, नए ट्रैक का आकार 6 सेकेंड से कम छोटा होगा और पैड किया जाएगा. ","If you split the track, the size of the new track will be shorter than 6 seconds and will be padded."
अगला पिछला संदेश,Next / Previous Message
प्रक्रिया दोषसुधार करें,_ Debug Process…
सबको कमिट करें,Commit added
अज्ञात त्रुटि,Unknown error
कोण y झुकाव,Angle y tilt
नहीं a नया. ,Could not create a new glade project.
विडियो डीवीडी लिख रहा है,Burning video DVD
"""% s"" एक सांकेतिक कड़ी है जो दूसरे प्रोग्राम को इंगित करती है. बदले में लक्ष्य प्रोग्राम का प्रयोग करें","""% s"" is a symbolic link pointing to another program. Use the target program instead"
कोई आँकड़ा सीडी/डीवीडी बनाएँ,Create a data CD / DVD
अंतराफलक दर्शक,Interface Viewer
स्क्रीन पर ताला,_ Lock Screen
बतौर सादा पाठ सूची परियोजना सहेजें,Save project as a plain text list
चयनित पाठ रंग,Selected Text Color
सहायक विंडो की ऊँचाई. ,The height of the assistant window.
पूछें प्रयोक्ता को पाएं अतिरिक्त पैरामीटर्स,Ask the user to get additional parameters
GType,GType
पाइलेअन,Pileon
नहीं,Do not commit
छांटा हुआ इंच खोला जा रहा है,Sorted in opening order
परियोजना विकल्प,Misc options
टैग नामः,Tag name:
विल औ द विस्प,Will O The Wisp
अपारिभाषित,undefined
Acard symbol,A
बोलें,Speak
लिखने के पहले सिमुलेट करें (_ S) ,_ Simulate before burning
स्थान-विशिष्टः,Locale:
कोई फाइल नहीं,No file
"फ़ॉन्ट का आकार, तयशुदा आकार की तुलना में","Size of font, relative to default size"
ध्वनि और आँकड़ा डिस्क (% s) ,Audio and data disc (% s)
नहीं संस्करण अधिष्ठापित करें पैकेज आप पाएं सेhttp:// autogen. sourceforge. net.. ,Could not find autogen version 5; please install the autogen package. You can get it from http: / / autogen. sourceforge. net.
वर्तमान में स्थापित स्थिति (इस स्थिति के लिए संक्रमण पूर्ण नहीं हो सकता है) ,"Currently set state, (transition to this state might not be complete)"
अंतिम बार फोकस किए गए एक्सेसेबल को जांचें,Inspect last focused accessible
Cogl बनावट पिक्समेप बैकएंड को ट्रेस करें,Trace CoglTexturePixmap backend
रद्दीकरण योग्य आरंभीकरण समर्थित नहीं,Cancellable initialization not supported
क्या बाज़ू पट्टी को दिखाना है. इसे प्रयोग के लिए सही पर सेट करें. ,Whether to display a side pane. Set to true to use it.
आवरण,Cover
Y अक्ष पर आरंभिक स्केल,Initial scale on the Y axis
ऑडियो परियोजना (_ o) ,Audi _ o project
LDAP पता पुस्तिका जोड़ें,Add an LDAP Address Book
डीवीडी-रोम,DVD - ROM
हटाएँ फ़ाइलः,Remove Files:
स्क्रॉल दिशा,The scrolling direction
माॅड्यूल फाइल नाम,Data module Makefile. am
#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#व = द्धि (ऊंचाई) #-#-#-#-#libgnomecanvas. HEAD. hi. po (PACKAGE VERSION) #-#-#-#-#बढ़ाए,Western
पाठ,text
आर्मेनियाई,Armenian
फ़ाइल सहेजें,Save File
स्ट्रिंग,String
निर्देशिकाओं को विडियो या श्रव्य डिस्क में जोड़ी नहीं जा सकती है,Directories cannot be added to video or audio discs
को मिटाएँ अनुसरण कर रहा है से नहीं नहीं,Are you sure you want to remove the following elements from the project?
तस्वीर में एक खाली खाँचा,an empty slot on tableau
डेवहेल्प,About Devhelp
कभी ऐसी फाइल मत जोड़ें (_ v) ,Ne _ ver Add Such File
संदेश के रंग,Message colors
यह वैध डिस्क छवि या वैध क्यू फ़ाइल प्रतीत नहीं होती है. ,It doesn 't appear to be a valid disc image or a valid cue file.
डाटाबेस,Populating symbol database…
चिड़ी का नहला,the nine of clubs
शीर्षिका फ़ाइल,Header Files
आंतरिक त्रुटि पैदा हुआ,An internal error occurred
DEVICE PATH,DEVICE PATH
आरंभ समय,Startup time
ब्लेंडिंग अक्षम,Disable blending
निर्देशिका,Directory
"अगर सक्रिय किया जाता है, सारे इनकमिंग कॉल को अग्रसारित किया जायेगा होस्ट को जो कि नीचे निर्दिष्ट है अगर आप कॉल में पहले से हैं या अगर आप व्यस्त अवस्था में हैं","If enabled, all incoming calls will be forwarded to the host that is specified in the field below if you already are in a call or if you are in busy mode"
वर्णमाला चयन,Alphabet Selection
कृपया डिस्क को समर्थित सीडी या डीवीडी से बदलें. ,Please replace the disc with a supported CD or DVD.
कार्य डायरेक्टरी,Select directory
गणना दोहराएँ,Repeat Count
नहीं फ़ाइल या. ,No file or project currently opened.
सहेजें मौजूदा फ़ाइल,Save current file
कृपया समूह नाम,Please specify group name
पृष्ठ,Page
वीडियो पूर्वावलोकन के लिए तयशुदा ऊँचाई. ,Default height for video preview.
निर्देशिका बिल्ड करेंः,Build Directory:
चुने गए एक्सेसेबेल,Selected accessible
परिक्रमण की दिशा,Direction of rotation
शीर्षक,Title
"""नाम"" और ""लिंक"" तत्वों '% s' के अंदर% d पंक्ति, कॉलम% d पर आवश्यक हैं","""name"" and ""link"" elements are required inside '% s' on line% d, column% d"
पाएँ,Fetch
HTTP अनुक्रिया ने गलत स्थिति कोड% d लौटाया,HTTP Response returned bad status code% d
रूपांतरण,Transform
उपनाम,Nick
चालू रिक्तिकरण प्रक्रिया,Ongoing blanking process
वीडियो विभेदन,Video resolution
रासता,Library Paths
"अपने वेबकैम से तस्वीर व वीडियो लें, मजेदार आलेखी प्रभाव के साथ","Take photos and videos with your webcam, with fun graphical effects"
डिस्क बाहर निकालें,Eject Disc
विंडो बनाएं,Compose window
बाहर जानेवाले कॉल के लिए SIP आउटबाउंड प्रॉक्सी,The SIP Outbound Proxy to use for outgoing calls
समानांतर का और वैश्विक,Parallel scan of project and global symbols
C + + समर्थन जोड़ेंः,Add C + + support:
इस निर्देशिका की संतति के पास 7 जनक निर्देशिका रहेगी. ब्रैसेरो ऐसी फ़ाइल पदक्रम की एक छवि बनाएगी और इसे लिखेगी; लेकिन डिस्क सभी ऑपरेटिंग तंत्र पर पठनीय नहीं होगी. नोटः ऐसा फाइल पदक्रम लिनक्स पर काम करने वाला माना जाता है. ,The children of this directory will have 7 parent directories. Brasero can create an image of such a file hierarchy and burn it; but the disc may not be readable on all operating systems. NOTE: Such a file hierarchy is known to work on linux.
मिले-जुले,Mixed
आपके कैमरा डिवाइस से चित्रों को दिखाता है,Display images from your camera device
इंडेन्टेशन और स्वचालित विकल्प,Indentation and auto - format options
रूट फलक,root pane
TCP पोर्ट सीमा,TCP port range
व्यस्त रहने पर दिये गये होस्ट को कॉल अग्रसारित करें,Forward calls to the given host if busy
किनारा में,To Edge
लाल जोकर,red joker
किसी वस्तु को तस्वीर के खाली खाँचे में ले जाएँ,Move something into the empty Tableau slot
~ a को एक खाली खाँचा में ले जाएँ,Move ~ a onto an empty slot.
चयनित ट्रैक विभाजित करें,Split the selected track
मुख्य वर्गः,Main Class:
फ़ोल्डर,Folder
एंकर बिंदु का Y निर्देशांक,Y coordinate of the anchor point
साझेदारी लाइब्रेरी,Shared Library (Libtool)
सामान्य,User Interface
Xlib,Xlib
एक्सेर्साइसर पहुंचनीयता अन्वेषक,Accerciser Accessibility Explorer
पहुँच योग्य सारणी पंक्ति वर्णन,Accessible Table Row Description
चिड़ी की चिड़ी के बगल में चिड़ी के दहला को रखें. ,Place the jack of clubs next to the ten of clubs.
अधिकतम गति,Maximum speed
कैनसास,Kansas
मदद,Help
वीसीडी छवि,VCD image
C + +/GObject Class,C + + / GObject Class
अट्ठा मिटाएँ,Remove the eights
उत्तर दें-झुन्ड को,Reply to _ Group...
पंक्ति (या) ,Indent opening braces
पूर्ण स्क्रीन में स्विच करें,Switch to fullscreen
यह फ़ाइल (छोटि) को बान्द करे,Reload current file
छवि प्रारूप और आकार पुनःप्राप्ति कर रहा है,Retrieving image format and size
एक नया सत्र जोड़ें,Add expression
त्यागें (_ A) ,_ Abort
अतिरिक्त वस्तुः,Additional objects:
लाल पान का पंजा,the five of hearts
घुमाव केंद्र का X निर्देशांक,X coordinate of the center of rotation
संस्थापित प्लगिन,Installed plugins
Aisleriot पता नहीं कर सका कि आपने कौन सा खेल अंतिम बार प्राप्त किया. ,Aisleriot cannot find the last game you played.
वरीयताएं (_ P) ,_ Preferences
कोई आनेवाली ध्वनि नहीं बजायी जाएगी. ,No incoming sound will be played.
कृपया वीडियो जोड़ें. ,Please add videos.
सामान्य,General
एक खाली खाँचा,an empty slot
वहाँ एक संजाल त्रुटि रही है जब रिपोर्ट भेजा जा रहा है. क्या आप इस रिपोर्ट को सहेजना चाहते हैं और इसे बाद में भेजना चाहते हैं? ,There was a network error while sending the report. Do you want to save this report and send it later?
यदि आप उन्हें आयात करते हैं तो आप एक बार लिखे हुए फाइल के मौजूदा चयन को देख और उन्हें उपयोग कर सकेगे. ,If you import them you will be able to see and use them once the current selection of files is burned.
फ़ाइल,Files
ताश को फिर से जमाने की कोशिश करें,Try rearranging the cards
व्यूपोर्ट,viewport
त्रुटि है इंच के लिए एक का! ,Error: The trigger key is already in use for one of the languages!
X आरंभ स्केल,X Start Scale
हटाएँ से,Remove from project
