id,hindi_idiom,hindi_sentence,english_translation,idiom_meaning,model_prediction,meteor_score
15,बाल-बाल बचना,तेज रफ्तार कार की चपेट में आने से वह बाल-बाल बच गया।,He narrowly escaped being hit by the speeding car.,To narrowly escape danger.,He survived the fast speed car hit.,0.17045454545454547
16,खाली दिमाग शैतान का घर,बुजुर्ग हमेशा कहते हैं कि खाली दिमाग शैतान का घर होता है।,Elders always say that an idle mind is the devil's workshop.,Idleness can lead to undesirable thoughts or actions.,Young people always say that an empty mind is the devil 's home.,0.6177113702623906
17,आम के आम गुठलियों के दाम,इस योजना से पैसे भी बचेंगे और समय भी; आम के आम गुठलियों के दाम।,This plan will save both money and time; it gives us two benefits at once.,To get two benefits from one thing.,This scheme will save money and time; the value of common diamonds.,0.38265306122448983
18,पाँचों उंगलियाँ बराबर नहीं होती,सभी लोगों की क्षमता एक जैसी नहीं होती; पाँचों उंगलियाँ बराबर नहीं होतीं।,Everyone has different abilities; all five fingers are not equal.,People are different from one another.,Not all people have the same capacity; five fingers are not equal.,0.5773420479302832
19,"काम का न काज का, दुश्मन अनाज का","वह न कोई काम करता है और न दूसरों को करने देता है; काम का न काज का, दुश्मन अनाज का।",He does no useful work and only wastes resources.,A useless person who contributes nothing but consumes resources.,"He does not work, or allows to do, but doesn 't work, or work, of the enemy.",0.19132653061224492
20,अधजल गगरी छलकत जाय,"उसे विषय की थोड़ी जानकारी है, फिर भी वह बहुत दिखावा करता है; अधजल गगरी छलकत जाय।",He knows very little about the subject but boasts a lot; empty vessels make the most noise.,A person with little knowledge often shows it off.,"He has some information about the subject, but he makes a lot of fun.",0.17964071856287425
21,आँख मारना,"राहुल ने दस्तावेज़ देते हुए आँख मारी, जो एक गुप्त संकेत था।",Rahul winked while handing over the document as a secret signal.,To wink as a signal or hint.,"Tourze the document, which was a hidden sign.",0.2388369678089304
22,ऊँट के मुँह में जीरा,इतनी बड़ी समस्या के सामने यह छोटी-सी मदद ऊँट के मुँह में जीरा है।,This small amount of help is far too little for such a huge problem.,An amount that is far too small for the need.,"In the face of such a big problem, it is small help in the head of the camel.",0.2961033950617284
23,नाच न जाने आँगन टेढ़ा,अपनी गलती मानने के बजाय वह दूसरों को दोष देता है; नाच न जाने आँगन टेढ़ा।,"Instead of admitting his mistake, he blames others; a bad dancer blames the floor.",To blame circumstances for one's own shortcomings.,"rather than acknowledge his error, he blames others; he doesn 't dance.",0.18115942028985507
24,मन मारना,मैंने मन मारकर मिठाई नहीं खाई क्योंकि मैं डाइट पर था।,I reluctantly gave up the sweets because I was on a diet.,To suppress one's desire or feelings.,I didn 't want to make fun of it because I was on a train.,0.4787714543812105
25,दूर के ढोल सुहावने लगते हैं,"दूसरे शहर की नौकरी दूर से बहुत अच्छी लगती थी, लेकिन वहाँ जाकर कठिनाइयों का पता चला; दूर के ढोल सुहावने लगते हैं।","The job in another city looked attractive from afar, but its difficulties became clear after moving there.",Things seem more attractive when viewed from a distance.,"The work of the other city was very good, but it was soon found out there, and a long tone of voice started to open up.",0.23820608317815029
26,मगरमच्छ के आँसू,अपनी गलती के बाद उसके मगरमच्छ के आँसू देखकर किसी को विश्वास नहीं हुआ।,No one believed his crocodile tears after his mistake.,Insincere tears or false sympathy.,No one believed it after his mistake.,0.6691919191919192
27,मरता क्या न करता,"मरता क्या न करता, उसने मजबूरी में वह कठिन काम स्वीकार कर लिया।",He accepted the difficult task out of desperation because he had no other choice.,A desperate person will do whatever is necessary.,"What he could not do, he accepted the hard work under pressure.",0.32318840579710145
28,कुएँ का मेंढक,"जो व्यक्ति अपने छोटे से संसार से बाहर की दुनिया को नहीं जानता, वह कुएँ का मेंढक कहलाता है।",A person who knows nothing beyond his small world is like a frog in a well.,A person with a very limited outlook or experience.,A person who doesn 't know the world out of his own little world is known to be a frog of the well.,0.4455089820359281
29,मियाँ बीवी राज़ी तो क्या करेगा काज़ी,"जब दोनों परिवारों की सहमति थी, तो किसी तीसरे व्यक्ति की जरूरत नहीं थी; मियाँ बीवी राज़ी तो क्या करेगा काज़ी।","When the two people involved agree, outside interference is unnecessary.","When the concerned parties agree, outsiders cannot interfere.","When both families agreed, no third was required; what will he do?",0.04901960784313726
30,सर खाना,बार-बार एक ही बात पूछकर मेरा सर मत खाओ।,Don't pester me by asking the same thing repeatedly.,To annoy or pester someone repeatedly.,Don 't eat my head again and again.,0.0
31,कमर तोड़ना,महँगाई ने आम लोगों की कमर तोड़ दी है।,Inflation has severely burdened ordinary people.,To severely weaken or burden someone.,Gave has broken the back of the common people.,0.15873015873015875
32,मुल्ला की दौड़ मस्जिद तक,वह हर समस्या का समाधान अपनी पार्टी तक ही सीमित रखता है; मुल्ला की दौड़ मस्जिद तक।,His thinking never goes beyond his own party; his outlook is very limited.,A person's efforts or thinking remain confined to a narrow limit.,He holds the solution to every problem to his party; to the mosque.,0.07692307692307693
33,बूढ़ी घोड़ी लाल लगाम,बूढ़ी उम्र में वह बहुत भड़कीले कपड़े पहनकर घूमती है; बूढ़ी घोड़ी लाल लगाम।,"At an old age, she dresses in overly flashy clothes; an old mare with a red bridle.",An elderly person trying too hard to appear youthful or fashionable.,"At an old age, he goes around wearing a very special suit; old blond red tlon.",0.2837821519140201
34,उल्टा चोर कोतवाल को डांटे,अपनी गलती के लिए माफी माँगने के बजाय वह शिकायत करने वाले को ही डाँटने लगा; उल्टा चोर कोतवाल को डांटे।,"Instead of apologizing for his mistake, he scolded the person who complained; the guilty person is blaming the accuser.",A guilty person blaming or accusing the innocent.,"Instead of asking for his own fault, he started to correct the man who was complaining; at the same time, correct the other thief.",0.3529597974042418
35,सीना चौड़ा होना,बेटी की सफलता पर पिता का सीना चौड़ा हो गया।,The father felt extremely proud of his daughter's success.,To feel very proud.,The success of the daughter led to her father 's opening up.,0.16129032258064518
36,बोया पेड़ बबूल का तो आम कहाँ से होए,"उसने गलत रास्ता चुना था, इसलिए उसे बुरा परिणाम मिला; बोया पेड़ बबूल का तो आम कहाँ से होए।",He chose the wrong path and therefore got a bad result; you cannot expect mangoes from a babul tree.,You cannot expect good results from bad actions.,"He chose a bad path, so he got a bad outcome; from where the seed was sold, from where it was common.",0.2072538860103627
37,चुल्लू भर पानी में डूब मरना,इतनी बड़ी गलती करने के बाद उसे चुल्लू भर पानी में डूब मरना चाहिए।,"After making such a shameful mistake, he should be extremely ashamed of himself.",To feel extremely ashamed.,"After making such a big mistake, he should get into the bottom of the bottom.",0.5900804924242424
38,मीन-मेख निकालना,हर काम में मीन-मेख निकालने के बजाय समाधान पर ध्यान दो।,"Instead of finding fault with everything, focus on the solution.",To find unnecessary faults or flaws.,"Instead of finding fault with everything, focus on the solution.",0.9995
39,सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद,खुद बहुत गलतियाँ करने वाला व्यक्ति दूसरों की गलतियाँ गिनाने लगा; सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद।,Someone full of faults began criticizing others; the pot calling the kettle black.,A flawed person criticizing someone else for similar faults.,The one who made a lot of mistakes started thinking of others and said something like that.,0.11194029850746269
40,जले पर नमक छिड़कना,मेरे नुकसान पर हँसकर उसने जले पर नमक छिड़क दिया।,"By laughing at my loss, he added insult to injury.",To make an already painful situation worse.,"Struggling at my loss, he terms it on the bottom.",0.3968750000000001
41,घोड़ा घास से यारी करे तो खाए क्या?,"अगर दुकानदार अपने सामान को मुफ्त में बाँटता रहेगा, तो घोड़ा घास से यारी करे तो खाए क्या?","If a shopkeeper keeps giving away his goods for free, how will he make a living?",One cannot sacrifice one's own livelihood for others.,"If the manager allows his goods to be given free, what should he do?",0.2698663853727145
42,खोदा पहाड़ निकली चुहिया,"टीम ने एक महीने मेहनत की, लेकिन परिणाम बहुत छोटा निकला; खोदा पहाड़ निकली चुहिया।","The team worked for a month, but the result was tiny; much effort produced very little.",A great deal of effort producing a very small result.,"The team worked for a month, but the result was a very short; a well - selling forest.",0.6626874808692992
43,थाली का बैगन होना,"वह थाली का बैगन है, जो भी उसे दबाव में डालता है, वह उसी का साथ देने लगता है।",He is easily influenced and sides with whoever puts pressure on him.,A person who frequently changes sides according to circumstances.,"She has a handout, whoever pushes her, it becomes the same.",0.04201680672268908
44,मुँह में राम बगल में छुरी,उसकी मीठी बातों पर भरोसा मत करना; मुँह में राम बगल में छुरी वाले लोगों से सावधान रहना चाहिए।,Do not trust his sweet words; beware of people who pretend to be good while secretly intending harm.,A person who appears virtuous but secretly intends harm.,"Don 't trust his well - known; in the face, he should be alert to being next to the sharp.",0.20439560439560442
45,सोलह आने सच,उसकी बात सोलह आने सच निकली।,What he said turned out to be completely true.,Completely true.,His words were true.,0.11764705882352941
46,मक्खन लगाना,वह बॉस को मक्खन लगाकर अपनी पसंद की छुट्टी लेना चाहता है।,He wants to flatter the boss to get the leave he wants.,To flatter someone for personal gain.,He wants the boss to use so that he or she can have a breakout of his choice.,0.4543245869776481
47,घड़ियाल के आँसू,अपनी गलती के बाद उसके घड़ियाल के आँसू देखकर किसी को उस पर विश्वास नहीं हुआ।,No one believed his crocodile tears after his mistake.,False or insincere expressions of sorrow.,No one believed him after his mistake.,0.6691919191919192
48,चेहरा उतरना,परीक्षा का परिणाम सुनते ही उसका चेहरा उतर गया।,His face fell as soon as he heard the exam result.,To become disappointed or worried.,He lost his face as soon as he heard the warning.,0.7215909090909091
49,चार दिन की चाँदनी फिर अँधेरी रात,उसकी नई नौकरी की खुशी कुछ ही दिनों में खत्म हो गई; चार दिन की चाँदनी फिर अँधेरी रात।,The happiness of his new job ended within a few days; temporary happiness does not last.,A short-lived period of happiness or success.,The joy of his new job ended in a few days; four days later the black night.,0.5486542443064182
50,लातों के भूत बातों से नहीं मानते,"उसे समझाने की बहुत कोशिश की, लेकिन वह नहीं माना; लातों के भूत बातों से नहीं मानते।","We tried hard to reason with him, but he would not listen; some people respond only to strict action.",Some stubborn people do not respond to words and require strict action.,"Trying to explain it to him, but he didn 't listen.",0.2808302808302808
51,नाक कटना,बेटे की करतूत से पूरे परिवार की नाक कट गई।,The son's actions brought shame to the entire family.,To suffer shame or disgrace.,The son 's actions cut the whole family off.,0.16666666666666666
52,मक्खीचूस,वह इतना मक्खीचूस है कि जरूरत पड़ने पर भी पैसे खर्च नहीं करता।,He is so miserly that he does not spend money even when necessary.,An extremely miserly person.,He doesn 't spend the money even if necessary.,0.29523809523809524
53,दूध का जला छाछ भी फूँक फूँक कर पीता है,पहले धोखा खाने के बाद अब वह हर नए व्यक्ति पर बहुत सावधानी से भरोसा करता है; दूध का जला छाछ भी फूँक फूँक कर पीता है।,"After being deceived once, he is now very cautious about trusting new people.",A person who has suffered once becomes very cautious afterward.,"Now after being deceived, he is very careful about what every new person is thinking of and doesn 't drink.",0.38834397810218974
54,बात बनना,काफी बातचीत के बाद आखिरकार प्रस्ताव पर सहमति हो गई और बात बन गई।,"After much discussion, the proposal was finally accepted and the matter worked out.",For a matter to work out successfully.,"After a lot of discussion, the offer was finally agreed and became something.",0.327991452991453
55,कंगाली में आटा गीला,नौकरी जाने के बाद घर का खर्च भी बढ़ गया; कंगाली में आटा गीला हो गया।,"After losing his job, his household expenses also increased, making a bad situation worse.",An additional problem making an already bad situation worse.,"When he lost his job, the family became more and more likely to have enough time to eat.",0.1388888888888889
56,उड़ती चिड़िया के पर पहचानना,वह इतना अनुभवी है कि उड़ती चिड़िया के पर पहचान लेता है और किसी की चालाकी से आसानी से धोखा नहीं खाता।,He is so perceptive and experienced that he quickly recognizes people's tricks.,To be extremely perceptive and quick to understand things.,He is so able to recognize a moving bird that is not easily deceived.,0.20491803278688522
57,अपनी गली में कुत्ता भी शेर होता है,वह अपने इलाके में बहुत दबंग है; अपनी गली में कुत्ता भी शेर होता है।,He is very powerful in his own neighborhood; even a dog is a lion in its own street.,A person feels powerful in their own territory.,He's too low in his area; a dog is also a dog in his own street.,0.3280621445415454
58,"नया नौ दिन, पुराना सौ दिन","नई चीज़ का आकर्षण कुछ ही दिनों में कम हो जाता है; नया नौ दिन, पुराना सौ दिन।",The attraction of something new soon fades; old things often become more valued.,"New things are attractive briefly, while familiar old things often become more valued.","The appeal of something less than a few days; new nine days, old one hundred days.",0.42293233082706766
59,दाल में कुछ काला होना,"पुलिस को शक था कि मामले में दाल में कुछ काला है, इसलिए उन्होंने जाँच शुरू की।","The police suspected that something was suspicious in the matter, so they started an investigation.",To suspect that something is wrong or suspicious.,"The police suspected that something was black in the case, so they started searching.",0.7307670974541015
60,न रहेगा बाँस न बजेगी बाँसुरी,"समस्या की जड़ को ही खत्म कर दिया गया, इसलिए न रहेगा बाँस न बजेगी बाँसुरी।","The root cause of the problem was removed, so the problem itself will disappear.",Remove the source of a problem and the problem disappears.,"The problem was over, so it will be no more.",0.2735294117647059
61,घोड़े बेचकर सोना,परीक्षा की सारी तैयारी पूरी करने के बाद वह रात को घोड़े बेचकर सोया।,"After finishing all his exam preparation, he slept very soundly.",To sleep very soundly and carefree.,"When he finished the test, he sold horses at night.",0.10000000000000002
62,सिट्टीपिट्टी गुम होना,अचानक तेज आवाज सुनकर उसकी सिट्टीपिट्टी गुम हो गई।,The sudden loud noise left him completely frightened and confused.,To become extremely frightened or confused.,"Suddenly, his voice was lost.",0.0
63,हाँ में हाँ मिलाना,अजय हमेशा बॉस की हर बात में हाँ में हाँ मिलाता रहता है ताकि उसे पसंद किया जाए।,Ajay always agrees with everything his boss says in order to be liked.,"To agree with someone excessively, often to gain favor.",Aim always finds Yes in every issue of the boss so that he will be liked.,0.2796992481203008
