hindi,english
चिड़ी की चौवा के बगल में चिड़ी के तिक्की को रखें. ,Place the four of clubs next to the three of clubs.
ऊपरी पटल के लिए डिफोल्ट प्लग-इन खाका,The default plugin layout for the top panel.
नेपोलियन मकबरा,Napoleons Tomb
घटक,Component
प्लग-इन त्रुटियां,Plugin Errors
खेलने के लिये खेल चुनें,Select the game type to play
एक और पत्ता बाँटें,Deal another card
जोड़ा गया,Added
ढूंढा जा रहा है,Searching
Qcard symbol,Q
जेनेरिक C + + प्रोजेक्ट,A generic GTKmm (C + +) project
ताज़ा करें (_ R) ,_ Refresh
ब्रेकपाइंट समायोजित करें,Jump to Breakpoint
इस प्रोग्राम के साथ आपको ग्नू-जनरल पब्लिक लाइसेंस की प्रतिलिपि मिलनी चाहिए. यदि नहीं तो देखें. slot type,"You should have received a copy of the GNU General Public License along with this program. If not, see."
फ़ॉन्टः,Font:
प्लगइन्स,Plugins
एनीमेशन,Animations
सुरक्षित खाँचा पर बेकार को ले जाएँ,Move ~ a onto an empty reserve slot.
गलियां और चौबारा,Streets And Alleys
डेवलेपर ईमेल पताः,Developer email address:
ताश के पत्तों को ढेर में वापस करें,Return cards to stock
कृपया खाली ढेर को पहले भरें. ,Please fill in empty pile first.
लीक विभेदनः,Leak resolution:
हुकुम की तिक्की,the three of spades
जोड़ें (_ A)... ,_ Add...
केनफील्ड,Canfield
सभी मिलानों को बदलें,Clear all stashes
ताशों को फेंट कर देखें,Try dealing a row of cards
आईडी,ID
विशिष्ट पंक्ति संख्या पर जाएं,Go to a particular line in the editor
गे गोरडोन्स,Gay Gordons
यह फ़ाइल (छोटि) को बान्द करे,Reload current file
विडजेट,WIDGET
ईंट का अट्ठा,the eight of diamonds
ईंट की तिक्की,three of diamonds
~ a को चिड़ी का चौवा पर ले जाएँ,Move ~ a onto the four of clubs.
~ a को चिड़ी का दहला पर ले जाएँ,Move ~ a onto the ten of clubs.
ग्लेनवुड,Glenwood
काल ग्राफ,Graph
लाल पान का बादशाह,king of hearts
न्यास,the foundation
एक% s को आप ढूंढ रहे हैं. ,You are searching for a five.
हुकुम की गुलाम के बगल में हुकुम के दहला को रखें. ,Place the jack of spades next to the ten of spades.
प्रोजेक्ट बंद करें,Install module
कार्ड थीम “% s” के साथ कार्ड दिखाएं,Display cards with “% s” card theme
ऊपरी पटल,Top panel
फ़ाइल सहेजा जा रहा है... ,Saving file...
यूजर नाम,User name
दहला मिटाएँ,Remove the tens
घटनाओं हेतु ध्वनि बजाएँ या नहीं. ,Whether or not to play event sounds.
के बारे में (_ A) ,_ About
प्लगिन के लिए प्रतीक फाइल,Icon file for the plugin
~ a को एक खाली शीर्ष स्लॉट में ले जाएँ. ,Move ~ a onto an empty top slot.
आधार पत्ताः इक्का,Base Card: Ace
चिड़ी का गुलाम,the jack of clubs
"% s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details. ","% s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details."
% s का कोई नाम या विवरण नहीं,% s has no name or description
मान बदलें,Change Value
विधि,Method
सफलतापूर्वक फ्लापी को फार्मेट किया,Completed... successful
सिस्टम मेनू,System:
मकड़ी,Spider
लाल पान का गुलाम,the jack of hearts
पिछली क्रिया रद्द करें,Undo the last action
ईंट का इक्का,the ace of diamonds
सीहैवन,Seahaven
लाल पान का गुलाम,jack of hearts
तिक्की मिटाएँ,Remove the threes
"यदि आप कभी जंगल में अकेले गुम हो जाएँ, तो किसी पेड़ के आगोश में जाएँ","If you 're ever lost and alone in the woods, hug a tree"
चुनें (_ S) ,_ Select
फाइल..... प्रविष्ट करें,_ Insert Macro...
अपारिभाषित,undefined
चिड़ी का पंजा,five of clubs
नेपोलियन मकबरा,Napoleons Tomb
छापा जा रहा है,Printing
~ a को हुकुम का नहला पर घुमाएँ. ,Move ~ a onto the nine of spades.
ग्लेड फाइल,Header Files
टिप्स (संकेतों) को दिखाएं (_ i) ,Show uncalled functions
अगला संदेश (_ N) ,_ Copy Message
रीढ़,Backbone
बादशाह मिटाएँ,Remove the kings
टर्मिनल में चलाएँ,Run in terminal
चीनी पारम्परिक,Chinese Traditional
प्रसंग फ़ाइल का नाम जिसमें खेला जाने वाला सॉलिटेयर खेल है. ,The name of the scheme file containing the solitaire game to play.
दुसरे ओप्शन्स,Other colors
चिड़ी का नहला,the nine of clubs
प्रवाहित करनेयोग्य विषयवस्तु,St _ reamable Content
दहला,ten
स्थान-विशिष्ट,Locale
हुकुम का दहला हटाएँ. ,Remove the two of spades.
~ a को एक ईंट का अट्ठा पर ले जाएँ,Move ~ a onto the eight of diamonds.
वस्तु जोड़ें,Add Item
मौजूद प्लगिन,Available plugins
हुकुम का दहला हटाएँ. ,Remove the three of spades.
खास,Signal:
निगरानी,Watches
अंजुटा के लिए डेव वहेल्प प्लगिन,Devhelp Plugin for Anjuta.
ग्नोम खेल वेबसाइट,GNOME Games web site
दृश्य _ (V) ,_ View
वस्तु जोड़ें,Add Item
तुर्की,Turkish
"चुने हुए आयटम को खोलने के लिए ""% s"" का उपयोग करें","The match ""% s"" was not found."
अनुप्रयोग से बाहर जाएं,Execute Program
बचा मालः ~ a,Stock left: ~ a
रिसेट करें (_ R) ,_ Reset / Revert
काल ग्राफ,Call Graph
#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#उपयोगकर्ता का नाम #-#-#-#-#eel. HEAD. hi. po (eel VERSION) #-#-#-#-#उपयोगकर्ता का नामः (_ U) ,Username:
अज्ञात मान,Unknown value
विषय सूची (_ C) ,_ Contents
प्रोजेक्ट विन्यस्त करें (_ o)... ,C _ onfigure Project...
सॉलिटेयर,Solitaire
घटक,Component
यूनिकोड,Unicode
जब व्यवसायी न हो तो हाट और शासक भी वह काम करते हैं,"When without a stapler, a staple and a ruler will work"
अगला संदेश,_ Next Message
प्रगतिशील राउंड,Progressive Rounds
रिडील पर बेतरतीब रूप से रखा गैप्स,Randomly Placed Gaps on Redeal
जायंट,Giant
श्रेणी,Functions
त्रुटि,ERROR
चयनित पाठ्य को हटाएं,Box comment the selected text
लाल पान का गुलाम,the jack of hearts
हुकुम का पंजा,five of spades
मदद (_ H) ,_ Help
चुने गए अनुप्रयोग,Selected application
आधार ढेर,the foundation pile
पूरा नाम,Full name
लाग सहेजें (_ a) ,S _ ave Log
दोषसुधार,Debug
संदेश अनुवाद करें,Translate messages
कमांडः,Command:
भूमिका,Role
सोलिटेयर; पत्ते; क्लोंडाइक; मकड़ी; FreeCell; धैर्य; ,solitaire; cards; klondike; spider; freecell; patience;
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#वर्तमान फाइल को संग्रहित करें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#वर्तमान फाइल संग्रहित करें,Set current frame
से,From
संकेत,Symbols
हिस्से,Function Call Tree
वतनी,Native
कार्रवाई संपन्न करें,Perform action
आइकन फाइलः,Icon File:
हाइलाइट मोड (_ H) ,_ Highlight Mode
पुस्तक-चिह्न जोड़ें... ,Add Bookmark...
कमांड,Command
Anjuta स्थिति,Anjuta Status
सभी,All
दोहराएँ (_ R) ,_ Redo
एलीवेटर,Elevator
शेष ताशः ~ a,Cards remaining: ~ a
चिड़ी का चौवा,the four of clubs
कुंजी,Key
विधि,Method
प्राथमिकता,Priority
प्रारंभ,Start
लाइसेंसः,License:
छैतिज पैमाना,Editor text transformation
चव्वा मिटाएँ,Remove the fours
नियंत्रण (_ C) ,_ Control
जेबिल्डर प्रोजेक्ट,Build Project
पुस्तक चिह्नों को संपादित करें... ,Edit Bookmarks...
ढूंढें,Search
ताश को उलटे खिसका कर देखें,Try moving a card to the reserve
~ a को चिड़ी का सत्ता पर घुमाएँ. ,Move ~ a onto the seven of clubs.
Gnome हैलो,Gnome API
बिल्ड निर्देशिका चुनें,Select a build directory
सभी फ़ाइल का चयन करे,Select debugging target
~ a को एक खाली स्लॉट में ले जाएँ. ,Move ~ a onto an empty slot.
फ़ाइल खोलें,End of file
"चुने गए प्रकारों और स्रोतों से घटनाएं जैसे-जैसे घटित होती हैं, उन्हें दर्शाता है",Shows events as they occur from selected types and sources
बिल्ड निर्देशिका चुनें,Select a build directory
चिड़ी का दहला हटाएँ. ,Remove the three of clubs.
एस्लेरियॉट सॉलिटेयर,AisleRiot Solitaire
थाई,Thai
पंक्ति संख्या,Go to Line number:
राजा अलबर्ट,King Albert
~ a को एक ईंट का दुक्का पर ले जाएँ,Move ~ a onto the two of diamonds.
फ्रीसेल सॉलिटेयर,FreeCell Solitaire
विकल्पों को सन्ग्रहित करे,Messages options
मैनेजर प्लगिन डिबग करें,Debug Manager plugin.
लाल पान का दहला,Remove the ten of hearts.
~ a को एक हुकुम का बादशाह पर ले जाएँ,Move ~ a onto the king of spades.
छैतिज पैमाना,Editor quick navigations
~ a को एक हुकुम का चव्वा पर ले जाएँ,Move ~ a onto the four of spades.
संग्रहित नहीं करें,Do _ n 't save
क़िस्म,Type
कोः,To:
एक्सेर्साइसर पहुंचनीयता अन्वेषक,Accerciser Accessibility Explorer
जूम,Zoom In
“% s” खेल आरंभ नहीं कर सका,Cannot start the game “% s”
समायोजन,_ Settings
इक्का मिटाएँ,Remove the aces
GtkSourceview संपादक,GtkSourceview editor
शीर्ष,Header _ cpp
GtkSourceview संपादक,GtkSourceview editor
नयी,/ _ New
शीर्षकः,Header:
दस्तावेज़,Documents
ईंट का बादशाह,the king of diamonds
ऐसे फाइल सहेजें,Save file as
~ a को एक लाल पान का दहला पर ले जाएँ,Move ~ a onto the ten of hearts.
वरीय प्लगिन,Preferred plugins
नया बीएसडी लाइसेन्स विवरण के लिए देखिए प्रतिलिपीकरण और सूचना फाइलें,The New BSD License See the COPYING and NOTICE files for details.
सक्रिय प्लगिन,Activated plugins
चिड़ी की तिक्की,three of clubs
यह खेल कोई संकेत उपलब्ध कराने में असमर्थ है. ,This game is unable to provide a hint.
स्थिति पट्टी (_ S) ,_ Statusbar
प्रोजेक्ट प्लान,Project level
अज्ञात,Unknown
सिकोड़ें,Shrink
फेंटें मोड,Shuffle mode
खाली तस्वीर खाँचा पर पत्तों को ले जाएँ,Move a build of cards on to the empty Tableau slot
घड़ी,Clock
स्टाक में से पत्ता निकालें,Deal a card from stock
पॉपअप संवाद,Popup dialog
make (\\ [\\d + \\])?: \\s + Leaving\\s + directory\\s + '(. +)' ,make (\\ [\\d +\\])?: \\s + Leaving\\s + directory\\s + '(. +)'
नाम,NAME
मौजूदा मान,Current value
गाढ़ा,Bold
मदद,_ Help
अज्ञात,unknown
बायीँ डीलः ~ a,Deals left: ~ a
अंकः,Score:
ताश के पत्तों को ढेर में वापस करें,Return cards to stock
अट्ठा मिटाएँ,Remove the eights
Copyright (c) Naba Kumar,Copyright (c) Naba Kumar
स्पाइडर तीन डेक,Spider Three Decks
Icon:% s,Anjuta status to use in loading and unloading of plugins
आधार पर एक पत्ता ले जाएँ,Move a card to the Foundation
खेल चुनें... (_ S) ,_ Select Game…
अधिकतम मान,Maximum value
ईंट का दहला के बगल में ईंट का नहला को रखें. ,Place the ten of diamonds next to the nine of diamonds.
मिलाएं,Merge…
वर्तमान शब्द के लिए दस्तावेज खोजें,Online documentation and resources
चिड़ी का छक्का,the six of clubs
फाइल चयन करें,Shell scripts files
ब्लाक दस,Block Ten
~ a को चिड़ी का नहला पर ले जाएँ,Move ~ a onto the nine of clubs.
प्रविष्ट,INS
परियोजना तयशुदा,Project name
ढूंढा जा रहा है,Searching
ई-मेल पताः,Email address:
नया प्रोजेक्ट बनाएं,Save glade project...
~ a को एक आधार पर ले जाएँ. ,Move ~ a onto the foundation.
डेवलेपर को इस बग को रिपोर्ट करें. ,Please report this bug to the developers.
त्यागें (_ A) ,_ Abort
जेम्सटाउन,Jamestown
एस्लेरियाट के लिये सहायता देखें,View help for Aisleriot
अद्यतन करें (_ U) ,_ Update
लेखक,Author
स्पेसर का आकार,_ White Space
लाल पान का इक्का,the ace of hearts
कोई संकेत उपलब्ध नहीं है,No hint available
छक्का मिटाएँ,Remove the sixes
यह चयन याद रखें,Remember this selection
c/. h फाइलों को आपस में बदलें,Swap. h /. c
मान,Value
ईंट का दहला,Move ~ a onto the ten of diamonds.
स्तंभ,Column
साराटोगा,Saratoga
कानफिगर (_ n) ,_ Configure
चलाने के लिए प्रोग्राम चुनेंः,Select Program to run:
आधार पत्ताः ~ a,Base Card: ~ a
ट्रेज,Treize
ईंट का पंजा,the five of diamonds
शीर्ष,cvs _ header
बचा मालः 0,Stock left: 0
ईटैलिक,Italic
~ a को एक खाली आधार में ले जाएँ. ,Move ~ a onto an empty foundation slot.
मोन्ते कार्लो,Monte Carlo
सोलिटेयर; पत्ते; क्लोंडाइक; मकड़ी; FreeCell; धैर्य; ,solitaire; cards; klondike; spider; freecell; patience;
संपादक,Editor tabs
एक खाली फाउन्डेशन स्लाट,an empty foundation slot
~ a को एक हुकुम का चव्वा पर ले जाएँ,Move ~ a onto the four of spades.
तिथि तथा समय प्रविषश्ट करें,no end time
प्लग-इन दृश्य (% d) ,Plugin View (% d)
चीनी (सरल) ,Chinese Simplified
स्तर छोडें (_ l) ,File filter:
वेलेंटाइन,Valentine
यूआरआई,URI
~ a को एक ईंट का इक्का पर ले जाएँ,Move ~ a onto the ace of diamonds.
पसंदीदा,Favorite
किसी वस्तु को तस्वीर के खाली खाँचे में ले जाएँ,Move something into the empty Tableau slot
चिड़ी का इक्का,Move ~ a onto the ace of clubs.
लपेट,Plait
टिप्पणीः परिवर्तन सत्रांत (लोगआउट) के बाद ही प्रभाव में आएंगे। ,Note: Changes only take effect after logout.
चीनी पारम्परिक,Chinese Traditional
चार मूलाधार,Four Foundations
लाल पान का पंजा,Move ~ a onto the five of hearts.
हाइलाइट बक्से का सीमांत रंग,The border color of the highlight box
संगतता ही कुंजी है,Consistency is key
सहेज रहे हैं,Saving
यात्रा जांच,Enable braces check
"चुने गए प्रकारों और स्रोतों से घटनाएं जैसे-जैसे घटित होती हैं, उन्हें दर्शाता है",Shows events as they occur from selected types and sources
चार सूइट,Four Suits
रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ,translator - credits
अज्ञात मान,Unknown value
कार्य के,Additional build options:
लाल पान का इक्का,ace of hearts
~ a को एक हुकुम का छक्का पर ले जाएँ,Move ~ a onto the six of spades.
स्पाइडर तीन डेक,Spider Three Decks
अगला मिलान बदलें,Replace next match
#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#नामः #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#नाम: ,Name:
छवि (_ I) ,_ Image
~ a को एक सुरक्षित खाँचा पर ले जाएँ,Move ~ a onto an empty reserve slot.
अतिरिक्त में से एक ताश के पत्ते को खाली खाँचा पर ले जाएँ,Move a card from the reserve on to the empty tableau slot
पास,Pass
सत्ता मिटाएँ,Remove the sevens
सिन्योर,Signora
लाल पान का पंजा,five of hearts
हुकुम का पंजा,the five of spades
प्लगिन चुनें,Select an Image File
बतौर रूट संस्थापित करेंः,Install as root:
~ a को एक तस्वीर में ले जाएँ,Move ~ a onto the tableau.
डायरेक्टरी का निर्माण करें,Ignore Directories:
भराई के रंग को हाइलाइट करें,Highlight fill color
लेखकः,Author:
व्यवसाय,Business
सीमांत रंगः,Border color:
एक पत्ता या पत्तों के समूह खाली खाँचा पर ले जाएँ,Move a card or build of cards on to the empty slot
(क्रियान्वित नहीं हुआ है) ,(not implemented)
मद (_ e): ,It _ ems:
"सूर्य किरणें आपको विटामिन डी देती हैं, कम्प्यूटरों के मॉनीटर्स नहीं... ",Monitors won 't give you Vitamin D - - but sunlight will...
मौजूद प्लगिन,Available Plugins
ऊपरी पटल के लिए डिफोल्ट प्लग-इन खाका. ,The default plugin layout for the top panel.
फाइल चयन करें,Selected text:
अंजूटा,Macro Plugin
बदलाव त्यागें (_ D) ,_ Discard changes
पत्ते बाँटें,Deal the cards
एक खाली खाँचा,an empty slot
टैग लिस्ट प्लगइन,Sample action
Kcard symbol,K
एटी-एसपीआई सत्यापक,AT - SPI Validator
मान (_ V): ,_ Value:
सत्यापन,V _ alidate
चिड़ी का चौवा,four of clubs
अंतराष्ट्रीयकरण जोड़ेंः,Add internationalization:
दृश्य,View
शीर्षकः,Title:
नया (_ N) _ New Game,_ New
गनोम सॉलिटेयर,GNOME Solitaire
प्रोजेक्ट में सोर्स जोड़ें,Add to Project
दुसरे ओप्शन्स,Colors:
चिड़ी का चौवा,the four of clubs
"% s जिस पर कार्रवाई हो सकती है, वह न तो फोकस करने योग्य है न ही चयनीय",actionable% s is not focusable or selectable
सी + + सोर्स कोड,C # source files
घड़ी,Clock
चिड़ी का गुलाम,the jack of clubs
चिड़ी का दहला,ten of clubs
सिग्नल,Signal
हुकुम का सत्ता,seven of spades
आपरेशन चलाएँ,Signal operations
तिहरी चोटी,Triple Peaks
चिड़ी का पंजा,five of clubs
अज्ञात रंग,Unknown color
C + +/GObject Class,C + + / GObject Class
ईंट का नहला के बगल में ईंट का अट्ठा को रखें. ,Place the nine of diamonds next to the eight of diamonds.
लाल पान की छक्का के बगल में लाल पान के पंजा को रखें. ,Place the six of hearts next to the five of hearts.
चेतावनी,WARN
सोना खदान,Gold Mine
लाल पान की दुक्का के बगल में लाल पान के इक्का को रखें. ,Place the two of hearts next to the ace of hearts.
प्रोफ़ाइल,Profiles
ताशों को फेंट कर देखें,Try dealing a row of cards
संस्थापित प्लगिन,Installed plugins
एनीमेशन,Animations
हाशिया पैरामीटर,Indentation parameters
रेग्युलर एक्सप्रेशन खोजना,Search Expression
औज़ार,Tools
प्रतिशतः,Percentage:
परिभाषा खिड़की दिखाएं/छिपाएं... (_ S) ,Show / Hide indentation guides
Specify File List,All Project Files
सिस्टम कालः,System call:
एस्लेरियाट के लिये सहायता देखें,View help for Aisleriot
"% s "","" This file is too big. Unable to allocate memory. ",Could not get file info
बेगम मिटाएँ,Remove the queens
वर्ग जनक,Class Generator
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#वरीयता #-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-#वरीयता #-#-#-#-#gnome-media. HEAD. hi. po (gnome-media 2.0) #-#-#-#-#वरियताएँ #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#प्राथमिकताएँ,Todo List Preferences
सांख्यिकी (_ t) ,S _ tatistics
कोई नहीं,none
सार्ट सूचक,Sorted in alphabetical order
पंजीकृत करें,Register
अद्यतन,Up - to - date
मूल में वापस करें (_ R) ,_ Revert to Original
जेनेरिक Xlib प्रोजेक्ट,A shared or a static library project
बेकार को भण्डार में ले जाएँtableauslot hint,% s on stock
कुलः,Total:
आप एक अठा के लिए खोज रहे हैं. ,You are searching for an eight.
~ a को एक ईंट का दुक्का पर ले जाएँ,Move ~ a onto the two of diamonds.
सॉलिटेयर,Solitaire
लाल पान का पंजा,five of hearts
हुकुम का दहला,the ten of spades
विषय सूची (_ C) ,_ Contents
'% s' फाइल में लिखने की त्रुटिः% s,Error contains
सत्यापन,V _ alidate
वरीयताएं (_ P) ,_ Preferences
लाल जोकर,red joker
रंग-पट्टिका,Palette
लाल पान का पंजा,five of hearts
शक्तिशाली डिबगिंग औजार,Remote debugging
योजना अपवाद उत्पन्न हुआ,A scheme exception occurred
डैरक्टरी चुनो,Select directory
नया खेल (_ N) ,_ New Game
पाँच मूलाधार,Five Foundations
को भेजें,Vendor tag:
पाइलेअन,Pileon
प्राथमिकताः,Priority:
पथः,Path:
अन्वेषण और प्रतिस्थापन,Find & Replace
कार्य,Task
~ a को एक क्लब का दोनों पर ले जाएँ,Move ~ a onto the two of clubs.
इस समय चुने गए एक्सेसेबेल से काम लेने के लिए अंतर्क्रियात्मक कन्सोल,Interactive console for manipulating currently selected accessible
नाम,NAME
लॉग देखिए,View Log
संदेश अनुवाद करें,Translate messages
यह फाइल मौजूद नहीं है। क्या आप इस फाइल का निर्माण करना चाहते हैं? ,"File ""% s"" already exists. Do you want to overwrite it?"
नमूना SDL प्रोजेक्ट,A sample SDL project
अतिरिक्त में से एक ताश के पत्ते को खाली तस्वीर खाँचा पर ले जाएँ,Move a card from the reserve onto the empty tableau slot
पुस्तक चिह्नों को संपादित करें... ,Edit Bookmarks...
पूर्णस्क्रीन,Fullscreen
पसंद (_ P)... ,_ Preferences...
हुकुम का बादशाह हटाएँ. ,Remove the king of spades.
वर्तमान फाइल को प्रिंट करें,Install module associated with current file
कुंजी बंधन,Key binding
रेखांकित,Underline - Squiggle
पसंद (_ P)... ,_ Preferences...
फिर बांटें,Redeal.
अनडू,U _ ndo
रेखांकित,Underline - Plain
घटना रेकोर्डिंग शुरू करो/रोको,Start / stop event recording
4number,4
चिड़ी की चिड़ी के बगल में चिड़ी के दहला को रखें. ,Place the jack of clubs next to the ten of clubs.
फाइल चुनें,Choose Icon
लाल पान का बादशाह हटाएँ. ,Remove the eight of hearts.
0 फाइल्स,Profiles
परियोजना नामः,Project name:
घटक,Co _ mponent
~ a को एक हुकुम का अट्ठा पर ले जाएँ,Move ~ a onto the eight of spades.
/ View/Todo List/Hide Completed Items,/ View / Sorting / Sort Descending
हुकुम का अट्ठा,eight of spades
जेब्राcard symbol,Zebra
% u फाइल्स,_ Build (% s)
अगली चाल हेतु संकेत प्राप्त करें,Get a hint for your next move
ट्रेज,Treize
मान,Value
संस्थापित करें (_ I) ,_ Install
प्रोजेक्ट साफ करें (_ C) ,Create File / Project
लेखकः,Author:
पंक्ति संख्या प्रदर्शित करें,Display process _ tree
तेरह,Thirteen
चिड़ी की चिड़ी के बगल में चिड़ी के दहला को रखें. ,Place the jack of clubs next to the ten of clubs.
चेतावनी,WARN
विन्यास विकल्पः,Configure Options:
एक्सेरसाइसर आपके डेस्कटोप में मौजूद अनुप्रयोग नहीं देख पाया। इस समस्या के समाधान के लिए आपको डेस्कटोप पहुंचनीयता को सक्रिय करना होगा। क्या आप इसे सक्रिय करना चाहते हैं? ,Accerciser could not see the applications on your desktop. You must enable desktop accessibility to fix this problem. Do you want to enable it now?
अंजूटा,Anjuta Plugins
~ a को एक लाल पान का चव्वा पर ले जाएँ,Move ~ a onto the four of hearts.
चिड़ी का नहला,nine of clubs
