idiom,sentence,matched_span,register,region,english_meaning,quality,notes
अधजल गगरी छलकत जाय,जब कोई अधजल गगरी छलकत जाय जैसा हो तो उसे ज्यादा महत्व नहीं देना चाहिए।,अधजल गगरी छलकत जाय,"['proverbial', 'informal']",['Khari Boli Hindi'],,,
निकल जाना,वह विवाद में उलझने से बचने के लिए अचानक निकल गया।,निकल गया,['informal'],['Khari Boli Hindi'],,,
दम देना,"जब भी मां बीमार होती हैं, हम सब उनके साथ दम देते हैं ताकि उन्हें अकेलापन न लगे।",दम देते हैं,['informal'],['Khari Boli Hindi'],,,
आँख मारना,"राहुल ने दस्तावेज़ देते हुए आँख मारी, जो एक गुप्त संकेत था।",आँख मारी,['informal'],['Khari Boli Hindi'],,,
राम जाने,तुम्हारा क्या होगा? राम जाने।,राम जाने,['informal'],['Khari Boli Hindi'],,,
ऊँट के मुँह में जीरा,मेरी तनख्वाह में बढ़ोतरी इतनी कम थी कि वह ऊँट के मुँह में जीरा थी।,ऊँट के मुँह में जीरा,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
नाच न जाने आँगन टेढ़ा,"आपको अपनी गलतियों पर नाच न जाने आँगन टेढ़ा का बहाना नहीं करना चाहिए, बल्कि सुधारना चाहिए।",नाच न जाने आँगन टेढ़ा,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
पैसा वसूल,मेरे लिए यह घड़ी पैसा वसूल साबित हुई क्योंकि इसकी क्वालिटी शानदार है।,पैसा वसूल,['informal'],['Khari Boli Hindi'],,,
मन मारना,मैंने मन मारकर मिठाई नहीं खाई क्योंकि डाइट पर था।,मन मारकर,"['neutral', 'informal']",['Khari Boli Hindi'],,,
घी के दिए जलाना,मेहमानों को घी के दिए जलाकर सम्मान देना यहाँ की परंपरा है।,घी के दिए जलाकर,['informal'],['Khari Boli Hindi'],,,
छाती फूलना,माँ ने बेटे की सफलता सुनकर छाती फूल गई और उसने सबके सामने उसका गुणगान किया।,छाती फूल गई,['informal'],['Khari Boli Hindi'],,,
फट के हाथ में आना,अगर हम जल्दी से जल्दी फट के हाथ में आ जाएं तो फायदा होगा।,फट के हाथ में आ जाएं,['informal'],['Khari Boli Hindi'],,,
दूर के ढोल सुहावने लगते हैं,दूर के ढोल सुहावने लगते हैं की कहावत हमें सिखाती है कि हर चीज़ की सच्चाई नजदीक से देखनी चाहिए।,दूर के ढोल सुहावने लगते हैं,"['informal', 'neutral']",['Khari Boli Hindi'],,,
तुक्का,"तुक्का लगाकर उसने जुआ जीता, लेकिन बाद में हार गया।",तुक्का लगाकर,['informal'],['Khari Boli Hindi'],,,
मगरमच्छ के आँसू,राजा के मगरमच्छ के आँसू जनता को धोखा देने के लिए थे।,मगरमच्छ के आँसू,"['informal', 'neutral']",['Khari Boli Hindi'],,,
काटना,टीवी शो के एडिटर ने विवादित हिस्सों को काट दिया ताकि कोई विवाद न हो।,काट दिया,['neutral'],['Khari Boli Hindi'],,,
अक्ल बड़ी या भैंस,"मोहल्ले की लड़ाई में बड़ा आदमी जीत गया, तब दादा बोला, 'अक्ल बड़ी या भैंस!'",अक्ल बड़ी या भैंस,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
बाल-बाल बचना,आग लगने पर वे बाल-बाल बच निकले।,बाल-बाल बच,['informal'],['Khari Boli Hindi'],,,
मरता क्या न करता,"मरता क्या न करता, अंजलि ने आखिरी समय तक कोशिश जारी रखी।",मरता क्या न करता,"['informal', 'neutral']",['Khari Boli Hindi'],,,
बाल-बच्चे,बाल-बच्चे का भरण-पोषण करना आसान नहीं होता।,बाल-बच्चे,"['informal', 'neutral']",['Khari Boli Hindi'],,,
कुएँ का मेंढक,गाँव के लोग शहर की बातों को कुएँ का मेंढ़क समझते हैं क्योंकि उनकी सोच सीमित है।,कुएँ का मेंढ़क,['informal'],['Khari Boli Hindi'],,,
चूतिया कटना,उसने स्वीकार किया कि उसे चूतिया कटना पड़ा जब उसने गलती की।,चूतिया कटना पड़ा,"['slang', 'informal']",['Khari Boli Hindi'],,,
मियाँ बीवी राज़ी तो क्या करेगा काज़ी,"मियाँ बीवी राज़ी तो क्या करेगा काज़ी की इस कहावत के अनुसार, बाहरी हस्तक्षेप बेकार है।",मियाँ बीवी राज़ी तो क्या करेगा काज़ी,"['informal', 'proverbial']","['Khari Boli Hindi', 'Urdu origin']",,,
पूरा का पूरा,"उसने पूरा का पूरा काम अकेले ही कर लिया, वाकई काबिल है।",पूरा का पूरा,['informal'],['Khari Boli Hindi'],,,
ईश्वर की माया कहीं धूप कहीं छाया,"जब से महामारी आई है, हमने ईश्वर की माया कहीं धूप कहीं छाया का अनुभव किया है।",ईश्वर की माया कहीं धूप कहीं छाया,"['literary', 'poetic']",['Khari Boli Hindi'],,,
सर खाना,अगर तुम बार-बार सर खाओगे तो मैं भी तंग हो जाऊंगा।,सर खाओगे,['informal'],"['Khari Boli Hindi', 'Chhattisgarhi Hindi']",,,
कमर तोड़ना,इस नए नियम ने किसानों की कमर तोड़ दी है।,कमर तोड़ दी,"['informal', 'neutral']",['Khari Boli Hindi'],,,
मुल्ला की दौड़ मस्जिद तक,"वह हमेशा अपनी पार्टी की ही बात करता है, मुल्ला की दौड़ मस्जिद तक ही सीमित है उसकी निष्ठा।",मुल्ला की दौड़ मस्जिद तक,"['informal', 'proverbial']","['Khari Boli Hindi', 'Urdu origin']",,,
आवश्यकता आविष्कार की जननी है,"टेक्नोलॉजी में नए नवाचार तब आते हैं जब आवश्यकता होती है, यही आवश्यकता आविष्कार की जननी है।",आवश्यकता आविष्कार की जननी है,"['formal', 'proverbial']",['Khari Boli Hindi'],,,
बूढ़ी घोड़ी लाल लगाम,"रमा ने बूढ़ी घोड़ी लाल लगाम की तरह खुद को बहुत रंगीन कपड़ों में सजाया, लेकिन वह अजीब लग रही थी।",बूढ़ी घोड़ी लाल लगाम की तरह,"['informal', 'derogatory']",['Khari Boli Hindi'],,,
उल्टा चोर कोतवाल को डांटे,"जब राजू ने अपनी गलती छुपाने के लिए मास्टर जी को डांटा, तो सबने कहा उल्टा चोर कोतवाल को डांटे।",उल्टा चोर कोतवाल को डांटे,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
ख़ून सूखना,ख़बर सुनते ही उसकी ख़ून सूख गई क्योंकि वह बहुत डर गया था।,ख़ून सूख गई,['informal'],['Khari Boli Hindi'],,,
सर हिलाना,"जब मैने उससे बाहर जाने को कहा, तो उसने सर हिलाकर मना कर दिया।",सर हिलाकर,['informal'],['Khari Boli Hindi'],,,
कौड़ी को तंग,"पिताजी कौड़ी को तंग करने वाले इंसान नहीं हैं, वे खुशखुशाल जीवन बिताते हैं।",कौड़ी को तंग करने वाले,['informal'],['Khari Boli Hindi'],,,
सीना चौड़ा होना,"जब सीमा ने परीक्षा में टॉप किया, तो उसका सीना चौड़ा हो गया।",सीना चौड़ा हो गया,['informal'],['Khari Boli Hindi'],,,
बोया पेड़ बबूल का तो आम कहाँ से होए,"उसने कहा, ‘बोया पेड़ बबूल का तो आम कहाँ से होए, इसलिए हम गलत रास्ता छोड़ना चाहिए।’",बोया पेड़ बबूल का तो आम कहाँ से होए,"['neutral', 'proverbial']",['Khari Boli Hindi'],,,
चुल्लू भर पानी में डूब मरना,अगर तुम फिर से धोखा दोगे तो चुल्लू भर पानी में डूब मरोगे।,चुल्लू भर पानी में डूब मरोगे,"['informal', 'slang']",['Khari Boli Hindi'],,,
मीन-मेख निकालना,अगर तुम मीन-मेख निकालना बंद कर दो तो काम जल्दी पूरा हो जाएगा।,मीन-मेख निकालना,['informal'],['Khari Boli Hindi'],,,
ईश्वर जाने,"जब मैंने उससे पूछा कि अगली बार क्या होगा, उसने बस कहा, ईश्वर जाने।",ईश्वर जाने,['informal'],['Khari Boli Hindi'],,,
साथ गाना,यदि हम साथ गाना चाहते हैं तो हमें एकजुट होकर काम करना होगा।,साथ गाना,['informal'],['Khari Boli Hindi'],,,
सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद,"कभी-कभी ऐसे लोग सामने आते हैं जो खुद कमजोर होते हैं, पर दूसरों पर आरोप लगाते हैं, सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद।",सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
मुँह मीठा करना,राजू ने अपनी गलती छुपाने के लिए मुँह मीठा करने की कोशिश की।,मुँह मीठा करने,['informal'],['Khari Boli Hindi'],,,
नक्राश्रु,कठिन परिस्थितियों में भी वह नक्राश्रु बना रहा और किसी से शिकायत नहीं की।,नक्राश्रु,"['literary', 'archaic']","['Khari Boli Hindi', 'Sanskrit origin']",,,
जल-थल एक होना,दो दलों ने आपसी मतभेद भूलकर जल-थल एक होकर चुनाव लड़ा।,जल-थल एक होकर,['formal'],['Khari Boli Hindi'],,,
जिगर का टुकड़ा,"बच्चा अपनी माँ का जिगर का टुकड़ा है, इसलिए वह उसकी हर बात मानता है।",जिगर का टुकड़ा,"['informal', 'affectionate']",['Khari Boli Hindi'],,,
जले पर नमक छिड़कना,"जब दोस्त ने मेरे नुकसान पर हँसी उड़ाई, तो उसने जले पर नमक छिड़क दिया।",जले पर नमक छिड़क,['informal'],['Khari Boli Hindi'],,,
घोड़ा घास से यारी करे तो खाए क्या?,"राम को कहा गया कि नौकरी छोड़ दो, लेकिन घोड़ा घास से यारी करे तो खाए क्या?",घोड़ा घास से यारी करे तो खाए क्या,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
खोदा पहाड़ निकली चुहिया,"टीम ने एक महीने की मेहनत की, पर परिणाम छोटा था, जैसे खोदा पहाड़ निकली चुहिया।",खोदा पहाड़ निकली चुहिया,"['informal', 'colloquial']",['Khari Boli Hindi'],,,
तेल लेने जाना,क्या तुम सच में तेल लेने जा रहे हो या सिर्फ तेल लेने जाना कह रहे हो? ,तेल लेने जा रहे हो,['informal'],['Khari Boli Hindi'],,,
जागृत हो जाना,वह अपने अधिकारों के बारे में जागृत हो चुका है और अन्याय के खिलाफ आवाज़ उठा रहा है।,जागृत हो चुका है,['formal'],['Khari Boli Hindi'],,,
रोज़ी रोटी,उसकी रोज़ी रोटी कपड़े बेचने में ही है।,रोज़ी रोटी,['neutral'],['Khari Boli Hindi'],,,
आठों पहर,"राम अपने काम में आठों पहर लगे रहते हैं, वह बहुत परिश्रमी है।",आठों पहर,"['poetic', 'informal']",['Khari Boli Hindi'],,,
नेकी और पूछ पूछ,वह नेकी और पूछ पूछ करके अपने गाँव में सबका दिल जीत चुका है।,नेकी और पूछ पूछ करके,['informal'],['Khari Boli Hindi'],,,
थाली का बैगन होना,थाली का बैगन होने की वजह से वह हर बार दूसरों के दबाव में आ जाता है।,थाली का बैगन होने,['informal'],['Khari Boli Hindi'],,,
संग गाना,अगर हम संग गाना करेंगे तो प्रोजेक्ट जल्दी पूरा होगा।,संग गाना,['informal'],['Khari Boli Hindi'],,,
मुँह में राम बगल में छुरी,ध्यान रखें कि मुँह में राम बगल में छुरी वाले लोगों से सावधान रहना चाहिए।,मुँह में राम बगल में छुरी,"['informal', 'derogatory']",['Khari Boli Hindi'],,,
मुठ मारना,"यह विषय बहुत संवेदनशील है, इसलिए मुठ मारने जैसी बातें न करें।",मुठ मारने,"['slang', 'vulgar']",['Khari Boli Hindi'],,,
सोलह आने सच,"उसके दावे सोलह आने सच हैं, इसलिए हम उसपर विश्वास करते हैं।",सोलह आने सच,['informal'],['Khari Boli Hindi'],,,
गागर में सागर भरना,"संदीप ने अपनी कविता में गागर में सागर भरना कर दिया, बहुत कम शब्दों में गहरा अर्थ व्यक्त किया।",गागर में सागर भरना,"['neutral', 'proverbial']",['Khari Boli Hindi'],,,
मक्खन लगाना,अगर तुम मुझे मक्खन लगाओगे तो मैं तुम्हारी मदद कर सकता हूँ।,मक्खन लगाओगे,['informal'],['Khari Boli Hindi'],,,
बहती गंगा में हाथ धोना,इस नए बाजार में निवेश करना बहती गंगा में हाथ धोने जैसा है।,बहती गंगा में हाथ धोने,['informal'],['Khari Boli Hindi'],,,
हाथ में होना,"जब तक यह मामला पुलिस के हाथ में है, हमें चिंता नहीं करनी चाहिए।",हाथ में है,['neutral'],['Khari Boli Hindi'],,,
घड़ियाल के आँसू,घड़ियाल के आँसू बहाकर वह अपनी गलती छुपाने की कोशिश कर रहा था।,घड़ियाल के आँसू,['informal'],['Khari Boli Hindi'],,,
चेहरा उतरना,नतीजा जानकर उसका चेहरा उतर गया।,चेहरा उतर गया,['informal'],['Khari Boli Hindi'],,,
क्या चल रहा है,"जब उसने अचानक नौकरी छोड़ दी तो सबने कहा, 'क्या चल रहा है?'",क्या चल रहा है,['informal'],['Khari Boli Hindi'],,,
जो गरजते हैं वो बरसते नहीं,"सरकार ने बहुत कुछ कहा, लेकिन जो गरजते हैं वो बरसते नहीं, इसलिए जनता निराश है।",जो गरजते हैं वो बरसते नहीं,"['informal', 'proverb']",['Khari Boli Hindi'],,,
लालफ़ीता,कार्यकर्ताओं ने विरोध प्रदर्शन में लालफ़ीता पहनकर अपनी एकता दिखाई।,लालफ़ीता,['informal'],['Khari Boli Hindi'],,,
उल्लू का पट्ठा,मोहित को देखकर लगता है कि कभी-कभी वह उल्लू का पट्ठा बन जाता है।,उल्लू का पट्ठा,"['informal', 'slang', 'derogatory']",['Khari Boli Hindi'],,,
जिस थाली में खाना उसी में छेद करना,"उसने अपने दोस्तों की मदद करने के बाद उन्हें धोखा दिया, जैसे कि जिस थाली में खाना उसी में छेद कर देना।",जिस थाली में खाना उसी में छेद कर देना,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
चार दिन की चाँदनी फिर अँधेरी रात,चार दिन की चाँदनी फिर अँधेरी रात की तरह उसकी खुशी कुछ ही दिनों में खत्म हो गई।,चार दिन की चाँदनी फिर अँधेरी रात,['informal'],['Khari Boli Hindi'],,,
लातों के भूत बातों से नहीं मानते,"राकेश ने समझाने की बहुत कोशिश की, लेकिन वे लोग लातों के भूत बातों से नहीं मानते।",लातों के भूत बातों से नहीं मानते,"['informal', 'proverbial', 'derogatory']",['Khari Boli Hindi'],,,
नाक कटना,"अगर तुम सच नहीं बोलोगे तो तुम्हारा नाक कट जाएगा, इसलिए ईमानदारी से जवाब दो।",नाक कट जाएगा,['informal'],['Khari Boli Hindi'],,,
मक्खीचूस,मक्खीचूस लोगों से मदद की उम्मीद नहीं रखनी चाहिए।,मक्खीचूस,"['informal', 'slang', 'pejorative']",['Khari Boli Hindi'],,,
दूध का जला छाछ भी फूँक फूँक कर पीता है,दूध का जला छाछ भी फूँक फूँक कर पीता है कहावत उसके बारे में बिल्कुल सही बैठती है।,दूध का जला छाछ भी फूँक फूँक कर पीता है,"['proverbial', 'informal']",['Khari Boli Hindi'],,,
फ़न्ने ख़ान,फिल्म इंडस्ट्री में कई लोग फ़न्ने ख़ान की तरह दिखावा करते हैं।,फ़न्ने ख़ान की तरह,"['informal', 'slang', 'pejorative']",['Khari Boli Hindi'],,,
रोशनी,आईना टूटा तो रोशनी भी कम हो गई।,रोशनी,['neutral'],['Khari Boli Hindi'],,,
गूँगे का गुड़ खाना,लड़ाई में हारकर राजू गूँगे का गुड़ खाता रहा और कोई जवाब नहीं दिया।,गूँगे का गुड़ खाता,['informal'],['Khari Boli Hindi'],,,
बात बनना,आखिरकार प्रस्ताव पर सहमति बन गई और बात बन गई।,बात बन गई,"['informal', 'neutral']",['Khari Boli Hindi'],,,
कंगाली में आटा गीला,"जब नौकरी चली गई और घर का खर्चा भी बढ़ गया, तो सच में कंगाली में आटा गीला हो गया।",कंगाली में आटा गीला,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
उड़ती चिड़िया के पर पहचानना,"मोहिनी ने कहा कि हमें इस मामले की पुष्टि करनी चाहिए, क्योंकि उड़ती चिड़िया के पर पहचानना सही नहीं होगा।",उड़ती चिड़िया के पर पहचानना,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
अपनी गली में कुत्ता भी शेर होता है,"राहुल अपनी गली में कुत्ता भी शेर होता है, इसलिए वह वहां बड़ा आदमी है।",अपनी गली में कुत्ता भी शेर होता है,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
नया नौ दिन पुराना सौ दिन,कई बार लोग नया नौ दिन पुराना सौ दिन की सोच से जल्द ही निराश हो जाते हैं।,नया नौ दिन पुराना सौ दिन,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
दाल में कुछ काला होना,"पुलिस को शक था कि मामले में दाल में कुछ काला है, इसलिए उन्होंने जांच शुरू की।",दाल में कुछ काला,['informal'],['Khari Boli Hindi'],,,
चुप रहना,"तुम चुप रहना क्यों चाहते हो, इस मामले में जवाब दो।",चुप रहना,['neutral'],['Khari Boli Hindi'],,,
न रहेगा बाँस न बजेगी बाँसुरी,कंपनी के मालिक के जाने के बाद न रहेगा बाँस न बजेगी बाँसुरी जैसी स्थिति बन गई।,न रहेगा बाँस न बजेगी बाँसुरी,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
घोड़े बेचकर सोना,"पार्टी के बाद वह घोड़े बेचकर सो गया, जैसे भविष्य की परवाह ही न हो।",घोड़े बेचकर सो,['informal'],['Khari Boli Hindi'],,,
सितारा,रेस्टोरेंट की सेवा को तीन सितारा माना जाता है।,तीन सितारा,['formal'],['Khari Boli Hindi'],,,
पता चलना,डॉक्टर ने बताया कि बीमारी का पता चलना बहुत जरूरी है।,पता चलना,['neutral'],['Khari Boli Hindi'],,,
सिट्टीपिट्टी गुम होना,"चिंता के कारण उसकी सिट्टीपिट्टी गुम हो गई थी, जिससे वह सही निर्णय नहीं ले पाया।",सिट्टीपिट्टी गुम हो गई थी,['informal'],['Khari Boli Hindi'],,,
ख़ून का बदला ख़ून,उनका मानना है कि ख़ून का बदला ख़ून लेना ही न्याय है।,ख़ून का बदला ख़ून लेना,['formal'],['Khari Boli Hindi'],,,
तूफ़ान के पहले की शांति,तूफ़ान के पहले की शांति में ही अधिकारियों ने तैयारियां शुरू कर दीं।,तूफ़ान के पहले की शांति,['neutral'],['Khari Boli Hindi'],,,
हाँ में हाँ मिलाना,"अजय तो हमेशा बॉस की बातों में हाँ में हाँ मिलाता रहता है, ताकि उसे पसंद किया जाए।",हाँ में हाँ मिलाता,['informal'],['Khari Boli Hindi'],,,
तुग़लक़,"अखिलेश का शासन तुग़लक़ की तरह था, अचानक फैसले बदलना उसकी आदत बन गई।",तुग़लक़,"['informal', 'pejorative']",['Khari Boli Hindi'],,,
रान में ज़ोर होना,रान में ज़ोर होने पर संयम रखना जरूरी होता है।,रान में ज़ोर होने,"['informal', 'slang', 'vulgar']",['Khari Boli Hindi'],,,
