source,target
इस योजना से पैसे भी बचेंगे और समय भी; आम के आम गुठलियों के दाम।,This plan will save both money and time; it gives us two benefits at once.
सभी लोगों की क्षमता एक जैसी नहीं होती; पाँचों उंगलियाँ बराबर नहीं होतीं।,Everyone has different abilities; all five fingers are not equal.
"वह न कोई काम करता है और न दूसरों को करने देता है; काम का न काज का, दुश्मन अनाज का।",He does no useful work and only wastes resources.
"उसे विषय की थोड़ी जानकारी है, फिर भी वह बहुत दिखावा करता है; अधजल गगरी छलकत जाय।",He knows very little about the subject but boasts a lot; empty vessels make the most noise.
"राहुल ने दस्तावेज़ देते हुए आँख मारी, जो एक गुप्त संकेत था।",Rahul winked while handing over the document as a secret signal.
इतनी बड़ी समस्या के सामने यह छोटी-सी मदद ऊँट के मुँह में जीरा है।,This small amount of help is far too little for such a huge problem.
अपनी गलती मानने के बजाय वह दूसरों को दोष देता है; नाच न जाने आँगन टेढ़ा।,"Instead of admitting his mistake, he blames others; a bad dancer blames the floor."
मैंने मन मारकर मिठाई नहीं खाई क्योंकि मैं डाइट पर था।,I reluctantly gave up the sweets because I was on a diet.
"दूसरे शहर की नौकरी दूर से बहुत अच्छी लगती थी, लेकिन वहाँ जाकर कठिनाइयों का पता चला; दूर के ढोल सुहावने लगते हैं।","The job in another city looked attractive from afar, but its difficulties became clear after moving there."
अपनी गलती के बाद उसके मगरमच्छ के आँसू देखकर किसी को विश्वास नहीं हुआ।,No one believed his crocodile tears after his mistake.
"मरता क्या न करता, उसने मजबूरी में वह कठिन काम स्वीकार कर लिया।",He accepted the difficult task out of desperation because he had no other choice.
"जो व्यक्ति अपने छोटे से संसार से बाहर की दुनिया को नहीं जानता, वह कुएँ का मेंढक कहलाता है।",A person who knows nothing beyond his small world is like a frog in a well.
"जब दोनों परिवारों की सहमति थी, तो किसी तीसरे व्यक्ति की जरूरत नहीं थी; मियाँ बीवी राज़ी तो क्या करेगा काज़ी।","When the two people involved agree, outside interference is unnecessary."
बार-बार एक ही बात पूछकर मेरा सर मत खाओ।,Don't pester me by asking the same thing repeatedly.
महँगाई ने आम लोगों की कमर तोड़ दी है।,Inflation has severely burdened ordinary people.
वह हर समस्या का समाधान अपनी पार्टी तक ही सीमित रखता है; मुल्ला की दौड़ मस्जिद तक।,His thinking never goes beyond his own party; his outlook is very limited.
बूढ़ी उम्र में वह बहुत भड़कीले कपड़े पहनकर घूमती है; बूढ़ी घोड़ी लाल लगाम।,"At an old age, she dresses in overly flashy clothes; an old mare with a red bridle."
अपनी गलती के लिए माफी माँगने के बजाय वह शिकायत करने वाले को ही डाँटने लगा; उल्टा चोर कोतवाल को डांटे।,"Instead of apologizing for his mistake, he scolded the person who complained; the guilty person is blaming the accuser."
बेटी की सफलता पर पिता का सीना चौड़ा हो गया।,The father felt extremely proud of his daughter's success.
"उसने गलत रास्ता चुना था, इसलिए उसे बुरा परिणाम मिला; बोया पेड़ बबूल का तो आम कहाँ से होए।",He chose the wrong path and therefore got a bad result; you cannot expect mangoes from a babul tree.
इतनी बड़ी गलती करने के बाद उसे चुल्लू भर पानी में डूब मरना चाहिए।,"After making such a shameful mistake, he should be extremely ashamed of himself."
हर काम में मीन-मेख निकालने के बजाय समाधान पर ध्यान दो।,"Instead of finding fault with everything, focus on the solution."
खुद बहुत गलतियाँ करने वाला व्यक्ति दूसरों की गलतियाँ गिनाने लगा; सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद।,Someone full of faults began criticizing others; the pot calling the kettle black.
मेरे नुकसान पर हँसकर उसने जले पर नमक छिड़क दिया।,"By laughing at my loss, he added insult to injury."
"अगर दुकानदार अपने सामान को मुफ्त में बाँटता रहेगा, तो घोड़ा घास से यारी करे तो खाए क्या?","If a shopkeeper keeps giving away his goods for free, how will he make a living?"
"टीम ने एक महीने मेहनत की, लेकिन परिणाम बहुत छोटा निकला; खोदा पहाड़ निकली चुहिया।","The team worked for a month, but the result was tiny; much effort produced very little."
"वह थाली का बैगन है, जो भी उसे दबाव में डालता है, वह उसी का साथ देने लगता है।",He is easily influenced and sides with whoever puts pressure on him.
उसकी मीठी बातों पर भरोसा मत करना; मुँह में राम बगल में छुरी वाले लोगों से सावधान रहना चाहिए।,Do not trust his sweet words; beware of people who pretend to be good while secretly intending harm.
उसकी बात सोलह आने सच निकली।,What he said turned out to be completely true.
वह बॉस को मक्खन लगाकर अपनी पसंद की छुट्टी लेना चाहता है।,He wants to flatter the boss to get the leave he wants.
अपनी गलती के बाद उसके घड़ियाल के आँसू देखकर किसी को उस पर विश्वास नहीं हुआ।,No one believed his crocodile tears after his mistake.
परीक्षा का परिणाम सुनते ही उसका चेहरा उतर गया।,His face fell as soon as he heard the exam result.
उसकी नई नौकरी की खुशी कुछ ही दिनों में खत्म हो गई; चार दिन की चाँदनी फिर अँधेरी रात।,The happiness of his new job ended within a few days; temporary happiness does not last.
"उसे समझाने की बहुत कोशिश की, लेकिन वह नहीं माना; लातों के भूत बातों से नहीं मानते।","We tried hard to reason with him, but he would not listen; some people respond only to strict action."
बेटे की करतूत से पूरे परिवार की नाक कट गई।,The son's actions brought shame to the entire family.
वह इतना मक्खीचूस है कि जरूरत पड़ने पर भी पैसे खर्च नहीं करता।,He is so miserly that he does not spend money even when necessary.
पहले धोखा खाने के बाद अब वह हर नए व्यक्ति पर बहुत सावधानी से भरोसा करता है; दूध का जला छाछ भी फूँक फूँक कर पीता है।,"After being deceived once, he is now very cautious about trusting new people."
काफी बातचीत के बाद आखिरकार प्रस्ताव पर सहमति हो गई और बात बन गई।,"After much discussion, the proposal was finally accepted and the matter worked out."
नौकरी जाने के बाद घर का खर्च भी बढ़ गया; कंगाली में आटा गीला हो गया।,"After losing his job, his household expenses also increased, making a bad situation worse."
वह इतना अनुभवी है कि उड़ती चिड़िया के पर पहचान लेता है और किसी की चालाकी से आसानी से धोखा नहीं खाता।,He is so perceptive and experienced that he quickly recognizes people's tricks.
वह अपने इलाके में बहुत दबंग है; अपनी गली में कुत्ता भी शेर होता है।,He is very powerful in his own neighborhood; even a dog is a lion in its own street.
"नई चीज़ का आकर्षण कुछ ही दिनों में कम हो जाता है; नया नौ दिन, पुराना सौ दिन।",The attraction of something new soon fades; old things often become more valued.
"पुलिस को शक था कि मामले में दाल में कुछ काला है, इसलिए उन्होंने जाँच शुरू की।","The police suspected that something was suspicious in the matter, so they started an investigation."
"समस्या की जड़ को ही खत्म कर दिया गया, इसलिए न रहेगा बाँस न बजेगी बाँसुरी।","The root cause of the problem was removed, so the problem itself will disappear."
परीक्षा की सारी तैयारी पूरी करने के बाद वह रात को घोड़े बेचकर सोया।,"After finishing all his exam preparation, he slept very soundly."
अचानक तेज आवाज सुनकर उसकी सिट्टीपिट्टी गुम हो गई।,The sudden loud noise left him completely frightened and confused.
अजय हमेशा बॉस की हर बात में हाँ में हाँ मिलाता रहता है ताकि उसे पसंद किया जाए।,Ajay always agrees with everything his boss says in order to be liked.
