idiom,sentence,matched_span,register,region
खाली दिमाग शैतान का घर,"गाँव के बुजुर्ग कहते हैं कि खाली दिमाग शैतान का घर होता है, इसलिए नौजवानों को काम में लगना चाहिए।",खाली दिमाग शैतान का घर,"['informal', 'proverb']",['Khari Boli Hindi']
आम के आम गुठलियों के दाम,"मेरी माँ ने कहा कि पढ़ाई से आम के आम गुठलियों के दाम मिलते हैं, मतलब दो फायदे होते हैं।",आम के आम गुठलियों के दाम,"['informal', 'proverbial']",['Khari Boli Hindi']
पाँचों उंगलियाँ बराबर नहीं होती,"पाँचों उंगलियाँ बराबर नहीं होती, इसलिए सभी कर्मचारियों को बराबर ही टास्क नहीं दिए जाते।",पाँचों उंगलियाँ बराबर नहीं होती,"['neutral', 'proverbial']",['Khari Boli Hindi']
नवरत्न,इस संस्था के नवरत्न सदस्यों ने मिलकर संगठन को सफलता की ऊँचाइयों तक पहुँचाया।,नवरत्न,['neutral'],['Khari Boli Hindi']
काम का न काज का दुश्मन अनाज का,अगर हम ऐसे काम का न काज का दुश्मन अनाज का लोगों को मौका देंगे तो परिवार का नुकसान होगा।,काम का न काज का दुश्मन अनाज का,"['informal', 'pejorative']",['Khari Boli Hindi']
गले लगाना,शिक्षकों ने डिजिटल शिक्षा को गले लगाकर बच्चों के लिए नई राह बनाई।,गले लगाकर,['neutral'],['Khari Boli Hindi']
अधजल गगरी छलकत जाय,जब कोई अधजल गगरी छलकत जाय जैसा हो तो उसे ज्यादा महत्व नहीं देना चाहिए।,अधजल गगरी छलकत जाय,"['proverbial', 'informal']",['Khari Boli Hindi']
निकल जाना,वह विवाद में उलझने से बचने के लिए अचानक निकल गया।,निकल गया,['informal'],['Khari Boli Hindi']
दम देना,"जब भी मां बीमार होती हैं, हम सब उनके साथ दम देते हैं ताकि उन्हें अकेलापन न लगे।",दम देते हैं,['informal'],['Khari Boli Hindi']
आँख मारना,"राहुल ने दस्तावेज़ देते हुए आँख मारी, जो एक गुप्त संकेत था।",आँख मारी,['informal'],['Khari Boli Hindi']
राम जाने,तुम्हारा क्या होगा? राम जाने।,राम जाने,['informal'],['Khari Boli Hindi']
ऊँट के मुँह में जीरा,मेरी तनख्वाह में बढ़ोतरी इतनी कम थी कि वह ऊँट के मुँह में जीरा थी।,ऊँट के मुँह में जीरा,"['informal', 'proverbial']",['Khari Boli Hindi']
नाच न जाने आँगन टेढ़ा,"आपको अपनी गलतियों पर नाच न जाने आँगन टेढ़ा का बहाना नहीं करना चाहिए, बल्कि सुधारना चाहिए।",नाच न जाने आँगन टेढ़ा,"['informal', 'proverbial']",['Khari Boli Hindi']
पैसा वसूल,मेरे लिए यह घड़ी पैसा वसूल साबित हुई क्योंकि इसकी क्वालिटी शानदार है।,पैसा वसूल,['informal'],['Khari Boli Hindi']
मन मारना,मैंने मन मारकर मिठाई नहीं खाई क्योंकि डाइट पर था।,मन मारकर,"['neutral', 'informal']",['Khari Boli Hindi']
घी के दिए जलाना,मेहमानों को घी के दिए जलाकर सम्मान देना यहाँ की परंपरा है।,घी के दिए जलाकर,['informal'],['Khari Boli Hindi']
मसें भीगना,यह गाना सुनकर सब मसें भीग गए और आँसू बहाए।,मसें भीग गए,['informal'],['Khari Boli Hindi']
छाती फूलना,माँ ने बेटे की सफलता सुनकर छाती फूल गई और उसने सबके सामने उसका गुणगान किया।,छाती फूल गई,['informal'],['Khari Boli Hindi']
बाल-बाल मोती पिरोना,टीम ने इस डिजाइन को बाल-बाल मोती पिरोना की तरह तैयार किया ताकि कोई कमी न रहे।,बाल-बाल मोती पिरोना,['literary'],['Khari Boli Hindi']
खुजली,रमेश में नया व्यवसाय शुरू करने की खुजली साफ दिख रही थी।,खुजली,['informal'],['Khari Boli Hindi']
फट के हाथ में आना,अगर हम जल्दी से जल्दी फट के हाथ में आ जाएं तो फायदा होगा।,फट के हाथ में आ जाएं,['informal'],['Khari Boli Hindi']
दूर के ढोल सुहावने लगते हैं,दूर के ढोल सुहावने लगते हैं की कहावत हमें सिखाती है कि हर चीज़ की सच्चाई नजदीक से देखनी चाहिए।,दूर के ढोल सुहावने लगते हैं,"['informal', 'neutral']",['Khari Boli Hindi']
तुक्का,"तुक्का लगाकर उसने जुआ जीता, लेकिन बाद में हार गया।",तुक्का लगाकर,['informal'],['Khari Boli Hindi']
मगरमच्छ के आँसू,राजा के मगरमच्छ के आँसू जनता को धोखा देने के लिए थे।,मगरमच्छ के आँसू,"['informal', 'neutral']",['Khari Boli Hindi']
काटना,टीवी शो के एडिटर ने विवादित हिस्सों को काट दिया ताकि कोई विवाद न हो।,काट दिया,['neutral'],['Khari Boli Hindi']
अक्ल बड़ी या भैंस,"मोहल्ले की लड़ाई में बड़ा आदमी जीत गया, तब दादा बोला, 'अक्ल बड़ी या भैंस!'",अक्ल बड़ी या भैंस,"['informal', 'proverbial']",['Khari Boli Hindi']
बाल-बाल बचना,आग लगने पर वे बाल-बाल बच निकले।,बाल-बाल बच,['informal'],['Khari Boli Hindi']
मरता क्या न करता,"मरता क्या न करता, अंजलि ने आखिरी समय तक कोशिश जारी रखी।",मरता क्या न करता,"['informal', 'neutral']",['Khari Boli Hindi']
नाच न जाने आँगन टेढ़ा,राम ने अपनी असफलता के लिए हमेशा नाच न जाने आँगन टेढ़ा कहकर बहाने बनाए।,नाच न जाने आँगन टेढ़ा,"['informal', 'proverbial']",['Khari Boli Hindi']
क्या मैं फ़ारसी बोल रहा हूँ,"मैं तुम्हें समझा रहा हूँ, क्या मैं फ़ारसी बोल रहा हूँ क्या? ध्यान से सुनो।",क्या मैं फ़ारसी बोल रहा हूँ,['informal'],['Khari Boli Hindi']
बाल-बच्चे,बाल-बच्चे का भरण-पोषण करना आसान नहीं होता।,बाल-बच्चे,"['informal', 'neutral']",['Khari Boli Hindi']
कुएँ का मेंढक,गाँव के लोग शहर की बातों को कुएँ का मेंढ़क समझते हैं क्योंकि उनकी सोच सीमित है।,कुएँ का मेंढ़क,['informal'],['Khari Boli Hindi']
चूतिया कटना,उसने स्वीकार किया कि उसे चूतिया कटना पड़ा जब उसने गलती की।,चूतिया कटना पड़ा,"['slang', 'informal']",['Khari Boli Hindi']
मियाँ बीवी राज़ी तो क्या करेगा काज़ी,"मियाँ बीवी राज़ी तो क्या करेगा काज़ी की इस कहावत के अनुसार, बाहरी हस्तक्षेप बेकार है।",मियाँ बीवी राज़ी तो क्या करेगा काज़ी,"['informal', 'proverbial']","['Khari Boli Hindi', 'Urdu origin']"
पूरा का पूरा,"उसने पूरा का पूरा काम अकेले ही कर लिया, वाकई काबिल है।",पूरा का पूरा,['informal'],['Khari Boli Hindi']
ईश्वर की माया कहीं धूप कहीं छाया,"जब से महामारी आई है, हमने ईश्वर की माया कहीं धूप कहीं छाया का अनुभव किया है।",ईश्वर की माया कहीं धूप कहीं छाया,"['literary', 'poetic']",['Khari Boli Hindi']
सर खाना,अगर तुम बार-बार सर खाओगे तो मैं भी तंग हो जाऊंगा।,सर खाओगे,['informal'],"['Khari Boli Hindi', 'Chhattisgarhi Hindi']"
तुक्का,"यह जीत एक तुक्का थी, इसमें कोई योजना नहीं थी।",तुक्का,['informal'],['Khari Boli Hindi']
कमर तोड़ना,इस नए नियम ने किसानों की कमर तोड़ दी है।,कमर तोड़ दी,"['informal', 'neutral']",['Khari Boli Hindi']
नाच न जाने आँगन टेढ़ा,जब प्रोजेक्ट फेल हुआ तो टीम ने नाच न जाने आँगन टेढ़ा कहकर अपनी जिम्मेदारी से भागना चाहा।,नाच न जाने आँगन टेढ़ा,"['informal', 'proverbial']",['Khari Boli Hindi']
मियाँ बीवी राज़ी तो क्या करेगा काज़ी,उनकी मियाँ बीवी राज़ी तो क्या करेगा काज़ी की तरह आपसी सहमति से फैसले हो गए।,मियाँ बीवी राज़ी तो क्या करेगा काज़ी,"['informal', 'proverbial']","['Khari Boli Hindi', 'Urdu origin']"
मुल्ला की दौड़ मस्जिद तक,"वह हमेशा अपनी पार्टी की ही बात करता है, मुल्ला की दौड़ मस्जिद तक ही सीमित है उसकी निष्ठा।",मुल्ला की दौड़ मस्जिद तक,"['informal', 'proverbial']","['Khari Boli Hindi', 'Urdu origin']"
कुएँ का मेंढक,अजय के विचार कुएँ के मेंढ़क जैसे हैं; वह कभी बड़ी दुनिया को समझ नहीं पाता।,कुएँ के मेंढ़क,['informal'],['Khari Boli Hindi']
जैसा कि मैं कह रहा था,"जैसा कि मैं कह रहा था, हमें इस परियोजना को समय पर पूरा करना होगा ताकि कोई देरी न हो।",जैसा कि मैं कह रहा था,"['informal', 'neutral']",['Khari Boli Hindi']
आवश्यकता आविष्कार की जननी है,"टेक्नोलॉजी में नए नवाचार तब आते हैं जब आवश्यकता होती है, यही आवश्यकता आविष्कार की जननी है।",आवश्यकता आविष्कार की जननी है,"['formal', 'proverbial']",['Khari Boli Hindi']
क्या मैं फ़ारसी बोल रहा हूँ,"जब मैंने उसे समझाया तो उसने कहा, 'क्या मैं फ़ारसी बोल रहा हूँ या तुम समझना नहीं चाहते?'",क्या मैं फ़ारसी बोल रहा हूँ,['informal'],['Khari Boli Hindi']
बूढ़ी घोड़ी लाल लगाम,"रमा ने बूढ़ी घोड़ी लाल लगाम की तरह खुद को बहुत रंगीन कपड़ों में सजाया, लेकिन वह अजीब लग रही थी।",बूढ़ी घोड़ी लाल लगाम की तरह,"['informal', 'derogatory']",['Khari Boli Hindi']
उल्टा चोर कोतवाल को डांटे,"जब राजू ने अपनी गलती छुपाने के लिए मास्टर जी को डांटा, तो सबने कहा उल्टा चोर कोतवाल को डांटे।",उल्टा चोर कोतवाल को डांटे,"['informal', 'proverbial']",['Khari Boli Hindi']
पूरा का पूरा,मुझे पूरा का पूरा भरोसा है कि तुम सफलता हासिल करोगे।,पूरा का पूरा,['informal'],['Khari Boli Hindi']
घी के दिए जलाना,उसने बॉस को घी के दिए जलाकर प्रमोशन पाने की कोशिश की।,घी के दिए जलाकर,['informal'],['Khari Boli Hindi']
ख़ून सूखना,ख़बर सुनते ही उसकी ख़ून सूख गई क्योंकि वह बहुत डर गया था।,ख़ून सूख गई,['informal'],['Khari Boli Hindi']
नवरत्न,नवरत्न कलाकारों की प्रदर्शनी में देश-विदेश से लोग आए थे।,नवरत्न,['neutral'],['Khari Boli Hindi']
सर हिलाना,"जब मैने उससे बाहर जाने को कहा, तो उसने सर हिलाकर मना कर दिया।",सर हिलाकर,['informal'],['Khari Boli Hindi']
कौड़ी को तंग,"पिताजी कौड़ी को तंग करने वाले इंसान नहीं हैं, वे खुशखुशाल जीवन बिताते हैं।",कौड़ी को तंग करने वाले,['informal'],['Khari Boli Hindi']
सीना चौड़ा होना,"जब सीमा ने परीक्षा में टॉप किया, तो उसका सीना चौड़ा हो गया।",सीना चौड़ा हो गया,['informal'],['Khari Boli Hindi']
बोया पेड़ बबूल का तो आम कहाँ से होए,"उसने कहा, ‘बोया पेड़ बबूल का तो आम कहाँ से होए, इसलिए हम गलत रास्ता छोड़ना चाहिए।’",बोया पेड़ बबूल का तो आम कहाँ से होए,"['neutral', 'proverbial']",['Khari Boli Hindi']
चुल्लू भर पानी में डूब मरना,अगर तुम फिर से धोखा दोगे तो चुल्लू भर पानी में डूब मरोगे।,चुल्लू भर पानी में डूब मरोगे,"['informal', 'slang']",['Khari Boli Hindi']
मीन-मेख निकालना,अगर तुम मीन-मेख निकालना बंद कर दो तो काम जल्दी पूरा हो जाएगा।,मीन-मेख निकालना,['informal'],['Khari Boli Hindi']
ईश्वर जाने,"जब मैंने उससे पूछा कि अगली बार क्या होगा, उसने बस कहा, ईश्वर जाने।",ईश्वर जाने,['informal'],['Khari Boli Hindi']
साथ गाना,यदि हम साथ गाना चाहते हैं तो हमें एकजुट होकर काम करना होगा।,साथ गाना,['informal'],['Khari Boli Hindi']
बाल-बाल बचाना,पढ़ाई में फेल होने के बाद भी अनिल को बाल-बाल बचा लिया गया था।,बाल-बाल बचा,['informal'],['Khari Boli Hindi']
मन मारना,उन्होंने मन मारकर अपने सपनों को कुछ समय के लिए स्थगित कर दिया।,मन मारकर,"['neutral', 'informal']",['Khari Boli Hindi']
सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद,"कभी-कभी ऐसे लोग सामने आते हैं जो खुद कमजोर होते हैं, पर दूसरों पर आरोप लगाते हैं, सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद।",सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद,"['informal', 'proverbial']",['Khari Boli Hindi']
अपना उल्लू सीधा करना,"वो हमेशा अपना उल्लू सीधा करता है, दूसरों की परवाह नहीं करता।",अपना उल्लू सीधा करता है,['informal'],['Khari Boli Hindi']
मुँह मीठा करना,राजू ने अपनी गलती छुपाने के लिए मुँह मीठा करने की कोशिश की।,मुँह मीठा करने,['informal'],['Khari Boli Hindi']
नक्राश्रु,कठिन परिस्थितियों में भी वह नक्राश्रु बना रहा और किसी से शिकायत नहीं की।,नक्राश्रु,"['literary', 'archaic']","['Khari Boli Hindi', 'Sanskrit origin']"
जलन,बहन की उपलब्धि से भाई की जलन बढ़ गई और उसने उससे दूरी बना ली।,जलन,['neutral'],['Khari Boli Hindi']
जल-थल एक होना,दो दलों ने आपसी मतभेद भूलकर जल-थल एक होकर चुनाव लड़ा।,जल-थल एक होकर,['formal'],['Khari Boli Hindi']
रामबाण,"इस दवा का असर रामबाण है, जो तुरंत दर्द कम कर देता है।",रामबाण,"['neutral', 'formal']",['Khari Boli Hindi']
बाल-बाल बचाना,"अगर विजय ने समय पर रिपोर्ट नहीं दी होती, तो हमारी कंपनी बाल-बाल बचती।",बाल-बाल बचती,['informal'],['Khari Boli Hindi']
जिगर का टुकड़ा,"बच्चा अपनी माँ का जिगर का टुकड़ा है, इसलिए वह उसकी हर बात मानता है।",जिगर का टुकड़ा,"['informal', 'affectionate']",['Khari Boli Hindi']
जले पर नमक छिड़कना,"जब दोस्त ने मेरे नुकसान पर हँसी उड़ाई, तो उसने जले पर नमक छिड़क दिया।",जले पर नमक छिड़क,['informal'],['Khari Boli Hindi']
छत्तीस का आँकड़ा,"राजनीति में वह छत्तीस का आँकड़ा साबित हुआ, जो हर कदम पर विरोध करता रहा।",छत्तीस का आँकड़ा,['informal'],['Khari Boli Hindi']
घोड़ा घास से यारी करे तो खाए क्या?,"राम को कहा गया कि नौकरी छोड़ दो, लेकिन घोड़ा घास से यारी करे तो खाए क्या?",घोड़ा घास से यारी करे तो खाए क्या,"['informal', 'proverbial']",['Khari Boli Hindi']
नवरत्न,टीम के कप्तान को नवरत्न कहा जाता है क्योंकि वह सबसे बहुमूल्य खिलाड़ी है।,नवरत्न,['neutral'],['Khari Boli Hindi']
खोदा पहाड़ निकली चुहिया,"टीम ने एक महीने की मेहनत की, पर परिणाम छोटा था, जैसे खोदा पहाड़ निकली चुहिया।",खोदा पहाड़ निकली चुहिया,"['informal', 'colloquial']",['Khari Boli Hindi']
चुल्लू भर पानी में डूब मरना,उसने कहा कि झूठ बोलने वालों को चुल्लू भर पानी में डूब मरना चाहिए।,चुल्लू भर पानी में डूब मरना,"['informal', 'slang']",['Khari Boli Hindi']
खाली दिमाग शैतान का घर,"यह सच है कि खाली दिमाग शैतान का घर होता है, इसलिए हमें हमेशा अपने दिमाग को व्यस्त रखना चाहिए।",खाली दिमाग शैतान का घर,"['informal', 'proverb']",['Khari Boli Hindi']
तेल लेने जाना,क्या तुम सच में तेल लेने जा रहे हो या सिर्फ तेल लेने जाना कह रहे हो? ,तेल लेने जा रहे हो,['informal'],['Khari Boli Hindi']
जागृत हो जाना,वह अपने अधिकारों के बारे में जागृत हो चुका है और अन्याय के खिलाफ आवाज़ उठा रहा है।,जागृत हो चुका है,['formal'],['Khari Boli Hindi']
रोज़ी रोटी,उसकी रोज़ी रोटी कपड़े बेचने में ही है।,रोज़ी रोटी,['neutral'],['Khari Boli Hindi']
नक्राश्रु,"गंभीर खबर सुनकर उसके चेहरे पर नक्राश्रु भाव था, जो उसकी मजबूती दिखाता था।",नक्राश्रु,"['literary', 'archaic']","['Khari Boli Hindi', 'Sanskrit origin']"
आठों पहर,"राम अपने काम में आठों पहर लगे रहते हैं, वह बहुत परिश्रमी है।",आठों पहर,"['poetic', 'informal']",['Khari Boli Hindi']
नेकी और पूछ पूछ,वह नेकी और पूछ पूछ करके अपने गाँव में सबका दिल जीत चुका है।,नेकी और पूछ पूछ करके,['informal'],['Khari Boli Hindi']
जागृत हो जाना,सामाजिक मुद्दों पर जागृत हो जाना आज के युवाओं का फर्ज़ है।,जागृत हो जाना,['formal'],['Khari Boli Hindi']
थाली का बैगन होना,थाली का बैगन होने की वजह से वह हर बार दूसरों के दबाव में आ जाता है।,थाली का बैगन होने,['informal'],['Khari Boli Hindi']
संग गाना,अगर हम संग गाना करेंगे तो प्रोजेक्ट जल्दी पूरा होगा।,संग गाना,['informal'],['Khari Boli Hindi']
नौ दो ग्यारह होना,अगर आपको मुसीबत में पड़ना नहीं है तो नौ दो ग्यारह होना सीखें।,नौ दो ग्यारह होना,['informal'],['Khari Boli Hindi']
मुँह में राम बगल में छुरी,ध्यान रखें कि मुँह में राम बगल में छुरी वाले लोगों से सावधान रहना चाहिए।,मुँह में राम बगल में छुरी,"['informal', 'derogatory']",['Khari Boli Hindi']
थाली का बैगन होना,"वह हमेशा थाली का बैगन होता है, कभी अपनी राय पर अड़ा नहीं रहता।",थाली का बैगन होता,['informal'],['Khari Boli Hindi']
मुठ मारना,"यह विषय बहुत संवेदनशील है, इसलिए मुठ मारने जैसी बातें न करें।",मुठ मारने,"['slang', 'vulgar']",['Khari Boli Hindi']
सोलह आने सच,"उसके दावे सोलह आने सच हैं, इसलिए हम उसपर विश्वास करते हैं।",सोलह आने सच,['informal'],['Khari Boli Hindi']
गागर में सागर भरना,"संदीप ने अपनी कविता में गागर में सागर भरना कर दिया, बहुत कम शब्दों में गहरा अर्थ व्यक्त किया।",गागर में सागर भरना,"['neutral', 'proverbial']",['Khari Boli Hindi']
मक्खन लगाना,अगर तुम मुझे मक्खन लगाओगे तो मैं तुम्हारी मदद कर सकता हूँ।,मक्खन लगाओगे,['informal'],['Khari Boli Hindi']
दम देना,"शहर में हुए झगड़े में दो लोग दम दे दिए गए, जिससे सभी दहशत में हैं।",दम दे दिए गए,['informal'],['Khari Boli Hindi']
बहती गंगा में हाथ धोना,इस नए बाजार में निवेश करना बहती गंगा में हाथ धोने जैसा है।,बहती गंगा में हाथ धोने,['informal'],['Khari Boli Hindi']
घोड़ा घास से यारी करे तो खाए क्या?,"तुम खेत छोड़ दो तो ठीक, लेकिन घोड़ा घास से यारी करे तो खाए क्या, इसे समझो।",घोड़ा घास से यारी करे तो खाए क्या,"['informal', 'proverbial']",['Khari Boli Hindi']
हाथ में होना,"जब तक यह मामला पुलिस के हाथ में है, हमें चिंता नहीं करनी चाहिए।",हाथ में है,['neutral'],['Khari Boli Hindi']
घड़ियाल के आँसू,घड़ियाल के आँसू बहाकर वह अपनी गलती छुपाने की कोशिश कर रहा था।,घड़ियाल के आँसू,['informal'],['Khari Boli Hindi']
मुठ मारना,"मुठ मारना एक निजी विषय है, जिसे खुले में चर्चा नहीं करनी चाहिए।",मुठ मारना,"['slang', 'vulgar']",['Khari Boli Hindi']
बोया पेड़ बबूल का तो आम कहाँ से होए,"बोया पेड़ बबूल का तो आम कहाँ से होए की तरह, बुरी संगत से अच्छे फल नहीं मिलते।",बोया पेड़ बबूल का तो आम कहाँ से होए,"['neutral', 'proverbial']",['Khari Boli Hindi']
चेहरा उतरना,नतीजा जानकर उसका चेहरा उतर गया।,चेहरा उतर गया,['informal'],['Khari Boli Hindi']
तुक्का,परिक्षा में तुक्का लगाना ठीक नहीं होता।,तुक्का लगाना,['informal'],['Khari Boli Hindi']
मरता क्या न करता,"मरता क्या न करता, जब परीक्षा पास करनी हो तो कोई मेहनत बड़ी नहीं लगती।",मरता क्या न करता,"['informal', 'neutral']",['Khari Boli Hindi']
चढ़ जाना,उसकी नाराज़गी इतनी चढ़ गई कि वह चुप नहीं रह सका।,चढ़ गई,['informal'],['Khari Boli Hindi']
ऊँट के मुँह में जीरा,सरकार की यह सहायता गरीबों के लिए ऊँट के मुँह में जीरा साबित हुई।,ऊँट के मुँह में जीरा,"['informal', 'proverbial']",['Khari Boli Hindi']
क्या चल रहा है,"जब उसने अचानक नौकरी छोड़ दी तो सबने कहा, 'क्या चल रहा है?'",क्या चल रहा है,['informal'],['Khari Boli Hindi']
चढ़ जाना,क्या राजीव तुम्हारे बॉस की नजर में चढ़ गया है?,चढ़ गया,['informal'],['Khari Boli Hindi']
जो गरजते हैं वो बरसते नहीं,"सरकार ने बहुत कुछ कहा, लेकिन जो गरजते हैं वो बरसते नहीं, इसलिए जनता निराश है।",जो गरजते हैं वो बरसते नहीं,"['informal', 'proverb']",['Khari Boli Hindi']
थककर बैठ जाना,टीम के लगातार हारने पर खिलाड़ी थककर बैठ गए और खेलने का मन नहीं रहा।,थककर बैठ गए,['informal'],['Khari Boli Hindi']
छत्तीस का आँकड़ा,"अमित को उनकी टीम में छत्तीस का आँकड़ा समझा जाता था, इसलिए कोई उन्हें गंभीरता से नहीं लेता था।",छत्तीस का आँकड़ा,['informal'],['Khari Boli Hindi']
हाथ में होना,"सभी जरूरी दस्तावेज़ मेरे हाथ में हैं, इसलिए चिंता मत करो।",हाथ में हैं,['neutral'],['Khari Boli Hindi']
चढ़ जाना,नए शिक्षक ने छात्रों के दिलों में जल्दी ही चढ़ जाना शुरू कर दिया।,चढ़ जाना,['informal'],['Khari Boli Hindi']
