id,hindi_idiom,hindi_sentence,english_translation,idiom_meaning
35,सीना चौड़ा होना,बेटी की सफलता पर पिता का सीना चौड़ा हो गया।,The father felt extremely proud of his daughter's success.,To feel very proud.
36,बोया पेड़ बबूल का तो आम कहाँ से होए,"उसने गलत रास्ता चुना था, इसलिए उसे बुरा परिणाम मिला; बोया पेड़ बबूल का तो आम कहाँ से होए।",He chose the wrong path and therefore got a bad result; you cannot expect mangoes from a babul tree.,You cannot expect good results from bad actions.
37,चुल्लू भर पानी में डूब मरना,इतनी बड़ी गलती करने के बाद उसे चुल्लू भर पानी में डूब मरना चाहिए।,"After making such a shameful mistake, he should be extremely ashamed of himself.",To feel extremely ashamed.
38,मीन-मेख निकालना,हर काम में मीन-मेख निकालने के बजाय समाधान पर ध्यान दो।,"Instead of finding fault with everything, focus on the solution.",To find unnecessary faults or flaws.
39,सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद,खुद बहुत गलतियाँ करने वाला व्यक्ति दूसरों की गलतियाँ गिनाने लगा; सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद।,Someone full of faults began criticizing others; the pot calling the kettle black.,A flawed person criticizing someone else for similar faults.
40,जले पर नमक छिड़कना,मेरे नुकसान पर हँसकर उसने जले पर नमक छिड़क दिया।,"By laughing at my loss, he added insult to injury.",To make an already painful situation worse.
41,घोड़ा घास से यारी करे तो खाए क्या?,"अगर दुकानदार अपने सामान को मुफ्त में बाँटता रहेगा, तो घोड़ा घास से यारी करे तो खाए क्या?","If a shopkeeper keeps giving away his goods for free, how will he make a living?",One cannot sacrifice one's own livelihood for others.
42,खोदा पहाड़ निकली चुहिया,"टीम ने एक महीने मेहनत की, लेकिन परिणाम बहुत छोटा निकला; खोदा पहाड़ निकली चुहिया।","The team worked for a month, but the result was tiny; much effort produced very little.",A great deal of effort producing a very small result.
43,थाली का बैगन होना,"वह थाली का बैगन है, जो भी उसे दबाव में डालता है, वह उसी का साथ देने लगता है।",He is easily influenced and sides with whoever puts pressure on him.,A person who frequently changes sides according to circumstances.
44,मुँह में राम बगल में छुरी,उसकी मीठी बातों पर भरोसा मत करना; मुँह में राम बगल में छुरी वाले लोगों से सावधान रहना चाहिए।,Do not trust his sweet words; beware of people who pretend to be good while secretly intending harm.,A person who appears virtuous but secretly intends harm.
45,सोलह आने सच,उसकी बात सोलह आने सच निकली।,What he said turned out to be completely true.,Completely true.
46,मक्खन लगाना,वह बॉस को मक्खन लगाकर अपनी पसंद की छुट्टी लेना चाहता है।,He wants to flatter the boss to get the leave he wants.,To flatter someone for personal gain.
47,घड़ियाल के आँसू,अपनी गलती के बाद उसके घड़ियाल के आँसू देखकर किसी को उस पर विश्वास नहीं हुआ।,No one believed his crocodile tears after his mistake.,False or insincere expressions of sorrow.
48,चेहरा उतरना,परीक्षा का परिणाम सुनते ही उसका चेहरा उतर गया।,His face fell as soon as he heard the exam result.,To become disappointed or worried.
49,चार दिन की चाँदनी फिर अँधेरी रात,उसकी नई नौकरी की खुशी कुछ ही दिनों में खत्म हो गई; चार दिन की चाँदनी फिर अँधेरी रात।,The happiness of his new job ended within a few days; temporary happiness does not last.,A short-lived period of happiness or success.
50,लातों के भूत बातों से नहीं मानते,"उसे समझाने की बहुत कोशिश की, लेकिन वह नहीं माना; लातों के भूत बातों से नहीं मानते।","We tried hard to reason with him, but he would not listen; some people respond only to strict action.",Some stubborn people do not respond to words and require strict action.
51,नाक कटना,बेटे की करतूत से पूरे परिवार की नाक कट गई।,The son's actions brought shame to the entire family.,To suffer shame or disgrace.
52,मक्खीचूस,वह इतना मक्खीचूस है कि जरूरत पड़ने पर भी पैसे खर्च नहीं करता।,He is so miserly that he does not spend money even when necessary.,An extremely miserly person.
53,दूध का जला छाछ भी फूँक फूँक कर पीता है,पहले धोखा खाने के बाद अब वह हर नए व्यक्ति पर बहुत सावधानी से भरोसा करता है; दूध का जला छाछ भी फूँक फूँक कर पीता है।,"After being deceived once, he is now very cautious about trusting new people.",A person who has suffered once becomes very cautious afterward.
54,बात बनना,काफी बातचीत के बाद आखिरकार प्रस्ताव पर सहमति हो गई और बात बन गई।,"After much discussion, the proposal was finally accepted and the matter worked out.",For a matter to work out successfully.
55,कंगाली में आटा गीला,नौकरी जाने के बाद घर का खर्च भी बढ़ गया; कंगाली में आटा गीला हो गया।,"After losing his job, his household expenses also increased, making a bad situation worse.",An additional problem making an already bad situation worse.
56,उड़ती चिड़िया के पर पहचानना,वह इतना अनुभवी है कि उड़ती चिड़िया के पर पहचान लेता है और किसी की चालाकी से आसानी से धोखा नहीं खाता।,He is so perceptive and experienced that he quickly recognizes people's tricks.,To be extremely perceptive and quick to understand things.
57,अपनी गली में कुत्ता भी शेर होता है,वह अपने इलाके में बहुत दबंग है; अपनी गली में कुत्ता भी शेर होता है।,He is very powerful in his own neighborhood; even a dog is a lion in its own street.,A person feels powerful in their own territory.
58,"नया नौ दिन, पुराना सौ दिन","नई चीज़ का आकर्षण कुछ ही दिनों में कम हो जाता है; नया नौ दिन, पुराना सौ दिन।",The attraction of something new soon fades; old things often become more valued.,"New things are attractive briefly, while familiar old things often become more valued."
59,दाल में कुछ काला होना,"पुलिस को शक था कि मामले में दाल में कुछ काला है, इसलिए उन्होंने जाँच शुरू की।","The police suspected that something was suspicious in the matter, so they started an investigation.",To suspect that something is wrong or suspicious.
60,न रहेगा बाँस न बजेगी बाँसुरी,"समस्या की जड़ को ही खत्म कर दिया गया, इसलिए न रहेगा बाँस न बजेगी बाँसुरी।","The root cause of the problem was removed, so the problem itself will disappear.",Remove the source of a problem and the problem disappears.
61,घोड़े बेचकर सोना,परीक्षा की सारी तैयारी पूरी करने के बाद वह रात को घोड़े बेचकर सोया।,"After finishing all his exam preparation, he slept very soundly.",To sleep very soundly and carefree.
62,सिट्टीपिट्टी गुम होना,अचानक तेज आवाज सुनकर उसकी सिट्टीपिट्टी गुम हो गई।,The sudden loud noise left him completely frightened and confused.,To become extremely frightened or confused.
63,हाँ में हाँ मिलाना,अजय हमेशा बॉस की हर बात में हाँ में हाँ मिलाता रहता है ताकि उसे पसंद किया जाए।,Ajay always agrees with everything his boss says in order to be liked.,"To agree with someone excessively, often to gain favor."
